company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,lm_ai_status
S2021-001,0000066740,MMM,3M,0000066740-22-000010,2021,2022-02-09,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,118,success,9,1,0.07627118644067797,0.00847457627118644,0.8,0.0847457627118644,0.06779661016949153,10,success,success
S2021-002,0000091142,AOS,A. O. Smith,0000091142-22-000028,2021,2022-02-11,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-003,0000874761,AES,AES Corporation,0000874761-22-000022,2021,2022-02-28,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-004,0001841666,APA,APA Corporation,0001784031-22-000009,2021,2022-02-22,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-005,0000732717,T,AT&T,0000732717-22-000015,2021,2022-02-16,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-006,0001551152,ABBV,AbbVie,0001551152-22-000007,2021,2022-02-18,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-007,0000001800,ABT,Abbott Laboratories,0001104659-22-025141,2021,2022-02-18,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-008,0001467373,ACN,Accenture,0001467373-21-000229,2021,2021-10-15,1.0.3,0.3.0,1,0.0030581039755351682,0,0.0,0,0.0,0,0.0,0,0.0,327,success,11,1,0.03363914373088685,0.0030581039755351682,0.8333333333333334,0.03669724770642202,0.03058103975535168,13,success,success
S2021-009,0000796343,ADBE,Adobe Inc.,0000796343-22-000032,2021,2022-01-21,1.0.3,0.3.0,13,0.01076158940397351,6,0.004966887417218543,8,0.006622516556291391,3,0.0024834437086092716,0,0.0,1208,success,38,12,0.03145695364238411,0.009933774834437087,0.52,0.041390728476821195,0.02152317880794702,69,success,success
S2021-010,0001158449,AAP,Advance Auto Parts,0001158449-21-000036,2021,2021-02-22,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34,success,0,0,0.0,0.0,,0.0,0.0,0,success,success
S2021-011,0000002488,AMD,Advanced Micro Devices,0000002488-22-000016,2021,2022-02-03,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.003125,320,success,0,0,0.0,0.0,,0.0,0.0,1,success,success
S2021-012,0000004977,AFL,Aflac,0000004977-22-000058,2021,2022-02-23,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-013,0001090872,A,Agilent Technologies,0001090872-21-000027,2021,2021-12-17,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,1,0.013888888888888888,0,0.0,72,success,1,0,0.013888888888888888,0.0,1.0,0.013888888888888888,0.013888888888888888,2,success,success
S2021-014,0000002969,APD,Air Products,0000002969-21-000055,2021,2021-11-18,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
