company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2022-001,0000066740,MMM,3M,0000066740-23-000014,2022,2023-02-08,1,1,0.0155802069051477,1,0.0003297065611605671,64184,3033,success
S2022-002,0000091142,AOS,A. O. Smith,0000091142-23-000025,2022,2023-02-14,0,0,0.0,0,0.0,26378,1523,success
S2022-003,0000874761,AES,AES Corporation,0000874761-23-000010,2022,2023-03-01,1,2,0.018582524993496115,1,0.00019774569903104609,107628,5057,success
S2022-004,0001841666,APA,APA Corporation,0001784031-23-000007,2022,2023-02-23,0,0,0.0,0,0.0,62568,2916,success
S2022-005,0000732717,T,AT&T,0000732717-23-000011,2022,2023-02-13,0,0,0.0,0,0.0,45915,2502,success
S2022-006,0001551152,ABBV,AbbVie,0001551152-23-000011,2022,2023-02-17,0,0,0.0,0,0.0,46930,2483,success
S2022-007,0000001800,ABT,Abbott Laboratories,0001628280-23-004026,2022,2023-02-17,0,0,0.0,0,0.0,36480,1977,success
S2022-008,0001467373,ACN,Accenture,0001467373-22-000295,2022,2022-10-12,1,12,0.3108003108003108,11,0.005456349206349206,38610,2016,success
S2022-009,0000796343,ADBE,Adobe Inc.,0000796343-23-000007,2022,2023-01-17,1,56,1.1729959573532185,35,0.015086206896551725,47741,2320,success
S2022-010,0000002488,AMD,Advanced Micro Devices,0000002488-23-000047,2022,2023-02-27,1,17,0.3361610409127761,13,0.005652173913043478,50571,2300,success
S2022-011,0000004977,AFL,Aflac,0000004977-23-000055,2022,2023-02-24,0,0,0.0,0,0.0,80247,4089,success
S2022-012,0001090872,A,Agilent Technologies,0001090872-22-000026,2022,2022-12-21,1,6,0.1021259212609147,5,0.001723543605653223,58751,2901,success
S2022-013,0000002969,APD,Air Products,0000002969-22-000054,2022,2022-11-22,0,0,0.0,0,0.0,50989,2727,success
S2022-014,0001086222,AKAM,Akamai Technologies,0001086222-23-000078,2022,2023-02-28,0,0,0.0,0,0.0,48510,2176,success
S2022-015,0000766421,ALK,Alaska Air Group,0000766421-23-000009,2022,2023-02-13,1,4,0.10488226965231527,2,0.0009722897423432182,38138,2057,success
S2022-016,0000915913,ALB,Albemarle Corporation,0000915913-23-000039,2022,2023-02-15,0,0,0.0,0,0.0,74057,3432,success
S2022-017,0001035443,ARE,Alexandria Real Estate Equities,0001035443-23-000099,2022,2023-01-30,0,0,0.0,0,0.0,95510,4128,success
S2022-018,0001097149,ALGN,Align Technology,0001097149-23-000013,2022,2023-02-27,1,6,0.11840858856962425,5,0.0022431583669807087,50672,2229,success
S2022-019,0001579241,ALLE,Allegion,0001579241-23-000006,2022,2023-02-22,1,2,0.04729585924752288,1,0.0004897159647404506,42287,2042,success
S2022-020,0000352541,LNT,Alliant Energy,0000352541-23-000017,2022,2023-02-24,0,0,0.0,0,0.0,53093,2629,success
S2022-021,0000899051,ALL,Allstate,0000899051-23-000020,2022,2023-02-16,1,2,0.01910968000840826,1,0.00019047619047619048,104659,5250,success
S2022-022,0001652044,GOOGL|GOOG,Alphabet Inc. (Class A)|Alphabet Inc. (Class C),0001652044-23-000016,2022,2023-02-03,1,28,0.6827436541415718,22,0.010357815442561206,41011,2124,success
S2022-023,0000764180,MO,Altria,0000764180-23-000020,2022,2023-02-27,0,0,0.0,0,0.0,64467,2817,success
S2022-024,0001018724,AMZN,Amazon,0001018724-23-000004,2022,2023-02-03,1,7,0.20922377977702722,6,0.0035863717872086074,33457,1673,success
