company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2022-001,0000066740,MMM,3M,0000066740-23-000014,2022,2023-02-08,1.0.3,0.3.0,2.8645714285714288,2.86,0.7154233226644522,1.81,4.5,35,60,25,0.5833333333333334,33,18,warning_stem_collisions
S2022-002,0000091142,AOS,A. O. Smith,0000091142-23-000025,2022,2023-02-14,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-003,0000874761,AES,AES Corporation,0000874761-23-000010,2022,2023-03-01,1.0.3,0.3.0,3.1888888888888887,3.14,0.44033937529148887,2.24,3.78,9,16,7,0.5625,8,5,warning_stem_collisions
S2022-004,0001841666,APA,APA Corporation,0001784031-23-000007,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-005,0000732717,T,AT&T,0000732717-23-000011,2022,2023-02-13,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-006,0001551152,ABBV,AbbVie,0001551152-23-000011,2022,2023-02-17,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-007,0000001800,ABT,Abbott Laboratories,0001628280-23-004026,2022,2023-02-17,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-008,0001467373,ACN,Accenture,0001467373-22-000295,2022,2022-10-12,1.0.3,0.3.0,2.924776119402985,2.89,0.7536993835892078,1.56,4.64,201,254,53,0.7913385826771654,122,40,warning_stem_collisions
S2022-009,0000796343,ADBE,Adobe Inc.,0000796343-23-000007,2022,2023-01-17,1.0.3,0.3.0,3.0658069883527452,2.93,0.8750530610112203,1.3,5.0,601,863,262,0.6964078794901506,263,175,warning_stem_collisions
S2022-010,0000002488,AMD,Advanced Micro Devices,0000002488-23-000047,2022,2023-02-27,1.0.3,0.3.0,3.1020588235294118,3.04,0.8846939630767796,1.33,4.9,170,263,93,0.6463878326996197,115,33,warning_stem_collisions
S2022-011,0000004977,AFL,Aflac,0000004977-23-000055,2022,2023-02-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-012,0001090872,A,Agilent Technologies,0001090872-22-000026,2022,2022-12-21,1.0.3,0.3.0,2.859090909090909,2.86,0.7700732497089842,1.3,4.69,88,105,17,0.8380952380952381,62,10,warning_stem_collisions
S2022-013,0000002969,APD,Air Products,0000002969-22-000054,2022,2022-11-22,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-014,0001086222,AKAM,Akamai Technologies,0001086222-23-000078,2022,2023-02-28,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-015,0000766421,ALK,Alaska Air Group,0000766421-23-000009,2022,2023-02-13,1.0.3,0.3.0,3.317222222222222,3.1900000000000004,0.8190564052992495,2.03,4.67,18,24,6,0.75,15,1,warning_stem_collisions
S2022-016,0000915913,ALB,Albemarle Corporation,0000915913-23-000039,2022,2023-02-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
