company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,lm_report_status
S2022-001,0000066740,MMM,3M,0000066740-23-000014,2022,2023-02-08,1.0.3,0.3.0,380,1674,-0.6299902629016553,863,0.014220508510883715,288,0.004745662168174403,90,0.001483019427554501,1434,0.02362944287903505,446,0.007349185163214527,0.006261637583007893,0.02758416135251372,-0.021322523769505827,0.03384579893552161,4285,60687,success
S2022-002,0000091142,AOS,A. O. Smith,0000091142-23-000025,2022,2023-02-14,1.0.3,0.3.0,132,382,-0.48638132295719844,453,0.018276446381021546,154,0.006213184862422335,51,0.00205761316872428,202,0.008149761962398128,150,0.0060518034374243525,0.00532558702493343,0.015411926087307352,-0.01008633906237392,0.02073751311224078,1305,24786,success
S2022-003,0000874761,AES,AES Corporation,0000874761-23-000010,2022,2023-03-01,1.0.3,0.3.0,541,1740,-0.5256466462078035,1556,0.015366535320317206,594,0.005866145231534975,274,0.0027059323121895336,1412,0.013944439506611757,928,0.009164617466101779,0.005342734966768386,0.017183657748940834,-0.011840922782172449,0.02252639271570922,6004,101259,success
S2022-004,0001841666,APA,APA Corporation,0001784031-23-000007,2022,2023-02-23,1.0.3,0.3.0,239,1008,-0.6166800320769847,948,0.0161617539253627,393,0.0066999676082990945,106,0.0018071159452409773,530,0.009035579726204886,553,0.00942768978979491,0.004074535008609373,0.01718464974342363,-0.013110114734814259,0.021259184752033006,3172,58657,success
S2022-005,0000732717,T,AT&T,0000732717-23-000011,2022,2023-02-13,1.0.3,0.3.0,219,642,-0.4912891986062718,582,0.013455091896890533,241,0.005571610218471853,94,0.0021731591723500175,431,0.009964165992370825,361,0.008345855970408045,0.005062998497283551,0.014842214772858629,-0.009779216275575079,0.01990521327014218,2215,43255,success
S2022-006,0001551152,ABBV,AbbVie,0001551152-23-000011,2022,2023-02-17,1.0.3,0.3.0,387,896,-0.3967264224473889,794,0.017879661322284274,355,0.007994055125202666,134,0.003017474328949739,632,0.014231669969374888,356,0.008016573590344082,0.008714646009727977,0.0201765447667087,-0.011461898756980725,0.02889119077643668,2986,44408,success
S2022-007,0000001800,ABT,Abbott Laboratories,0001628280-23-004026,2022,2023-02-17,1.0.3,0.3.0,175,623,-0.5614035087719298,547,0.016182474409798236,207,0.006123897994201526,85,0.0025146441038991774,411,0.012159043843559553,256,0.007573516359978699,0.0051772084492041895,0.018430862079166912,-0.013253653629962723,0.023608070528371102,1948,33802,success
S2022-008,0001467373,ACN,Accenture,0001467373-22-000295,2022,2022-10-12,1.0.3,0.3.0,376,790,-0.35506003430531735,806,0.02169699580058146,432,0.011629159039517604,78,0.002099709271024012,555,0.014940239043824702,286,0.007698933993754711,0.010121675460320879,0.02126628620652525,-0.011144610746204372,0.031387961666846126,2769,37148,success
S2022-009,0000796343,ADBE,Adobe Inc.,0000796343-23-000007,2022,2023-01-17,1.0.3,0.3.0,542,856,-0.2246065808297568,781,0.017049795882725347,394,0.008601305477328793,82,0.0017901194140633528,444,0.009692841705416204,303,0.006614709542209706,0.011832252712467527,0.01868710022485646,-0.006854847512388936,0.03051935293732399,2868,45807,success
S2022-010,0000002488,AMD,Advanced Micro Devices,0000002488-23-000047,2022,2023-02-27,1.0.3,0.3.0,334,1121,-0.540893470790378,994,0.02059634073061064,556,0.011520689583721846,140,0.0029008930606493856,366,0.007583763287126251,390,0.00808105924038043,0.006920702016120677,0.02322786514991401,-0.016307163133793334,0.030148567166034687,3131,48261,success
