company_id,cik,accession_number,object_key,sha256,file_size,upload_status
S2022-001,0000066740,0000066740-23-000014,2022/sample_500/html/raw/0000066740/0000066740-23-000014.html,12add1daa21033f327a758a138d2a28723de7a1b896c80d947e1c28e45160442,6551646,uploaded
S2022-002,0000091142,0000091142-23-000025,2022/sample_500/html/raw/0000091142/0000091142-23-000025.html,c060473c5ff25bc252840445e1245bf9c153f55c12a92c8cc94e38f401e97a9f,2511727,uploaded
S2022-003,0000874761,0000874761-23-000010,2022/sample_500/html/raw/0000874761/0000874761-23-000010.html,e59be90658f142badd8d8f181049b32b801ff9a4e4ec68b6a0c2a5e270ef3fdb,8350877,uploaded
S2022-004,0001841666,0001784031-23-000007,2022/sample_500/html/raw/0001841666/0001784031-23-000007.html,52d78a9b84d978edb4cdff06f41d9bf01739eb81d9e9739dd33541780d3f11df,5919645,uploaded
S2022-005,0000732717,0000732717-23-000011,2022/sample_500/html/raw/0000732717/0000732717-23-000011.html,f2d9e2e4240943ad9985758629d0e1fd0b3eecb8011b48475b94e9b19dffae8b,5874903,uploaded
S2022-006,0001551152,0001551152-23-000011,2022/sample_500/html/raw/0001551152/0001551152-23-000011.html,46ffc5ce20f557b354d1b72af4636df515c056ab4c6596c05714a5e2711301ba,4840548,uploaded
S2022-007,0000001800,0001628280-23-004026,2022/sample_500/html/raw/0000001800/0001628280-23-004026.html,73d63ad4a64509928f114ac21bd67be03bcdf6697fe91170dbf1c004889131a6,3412193,uploaded
S2022-008,0001467373,0001467373-22-000295,2022/sample_500/html/raw/0001467373/0001467373-22-000295.html,8da0057e78b0cc360d4667b8889ef41b420b71e04a91140c2013278b2f6bfbff,3381988,uploaded
S2022-009,0000796343,0000796343-23-000007,2022/sample_500/html/raw/0000796343/0000796343-23-000007.html,38451ecab36d58ae685d98e18ca0ff7c698e9e882985021bd95601e689685d58,2990674,uploaded
S2022-010,0000002488,0000002488-23-000047,2022/sample_500/html/raw/0000002488/0000002488-23-000047.html,df0ad96c282b7eab4c3387bc2ef772350004e37be21805622ab8503b5db02acd,2648242,uploaded
S2022-011,0000004977,0000004977-23-000055,2022/sample_500/html/raw/0000004977/0000004977-23-000055.html,94ed9501973d5de00b284d9a65007d7a4559208a8b58451af1eb42be03b87563,10523659,uploaded
S2022-012,0001090872,0001090872-22-000026,2022/sample_500/html/raw/0001090872/0001090872-22-000026.html,5803a1d71c1473a275f8ae3a08dd4e264c0e36cd9ed06da2a2ea2fb958b46c72,4433051,uploaded
S2022-013,0000002969,0000002969-22-000054,2022/sample_500/html/raw/0000002969/0000002969-22-000054.html,3948b1ca1a4e7cea71f194602fe772a555532c2744da11878abefdd0cd4f86a5,4832920,uploaded
S2022-014,0001086222,0001086222-23-000078,2022/sample_500/html/raw/0001086222/0001086222-23-000078.html,de080bd4adc92dd3c43f089e85886c8e0447c0909949501ff17a9835c9e9bcbe,3262580,uploaded
S2022-015,0000766421,0000766421-23-000009,2022/sample_500/html/raw/0000766421/0000766421-23-000009.html,996116c566a8bf29f2d846d6364edb7a5686a41d8a8b5876b244cfab46b21390,3454465,uploaded
S2022-016,0000915913,0000915913-23-000039,2022/sample_500/html/raw/0000915913/0000915913-23-000039.html,927df68d21161e14c9438617dd8a18a30d1cfe788eb8293104cdc48bceaad046,4788037,uploaded
S2022-017,0001035443,0001035443-23-000099,2022/sample_500/html/raw/0001035443/0001035443-23-000099.html,225b00453609bc5cca799e9749098e465849fc64133b4e5d694e91851d6ffdc9,7740371,uploaded
S2022-018,0001097149,0001097149-23-000013,2022/sample_500/html/raw/0001097149/0001097149-23-000013.html,8350e25b2ca1f84f60bdd69e1aacf55903cdac8eb003324ef005f2a7c6e8f1ee,2961747,uploaded
S2022-019,0001579241,0001579241-23-000006,2022/sample_500/html/raw/0001579241/0001579241-23-000006.html,a1801d6c0a07ff44b4d588a3f9301c64278248ded8bc7571ea82acfec61b8ce7,3326081,uploaded
S2022-020,0000352541,0000352541-23-000017,2022/sample_500/html/raw/0000352541/0000352541-23-000017.html,3d0a34fb71e8ea05d81358a1eddd5a35041578750f76ea2efbd04758b30d294e,7319244,uploaded
