company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,total_analysis_word_count,total_analysis_sentence_count,ai_sentence_count,ai_sentence_ratio,ai_detection_status,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status,report_word_count,log_report_word_count,report_sentence_count,report_paragraph_count,report_mean_sentence_length,report_fog_index,report_numeric_token_ratio,report_ai_term_count,report_ai_terms_per_1000_words,report_table_text_word_count,report_table_text_ratio,source_html_bytes,analysis_text_bytes,analysis_text_to_html_ratio,report_control_status,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_forward_looking_count,report_forward_looking_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,concreteness_status,lm_ai_status,lm_report_status,matching_strategy_version,concreteness_preprocessing_version
S2023-001,0000066740,MMM,3M,0000066740-24-000016,2023,2024-02-07,1.0.3,0.3.0,1,2,0.03152685,63438,2783,1,0.00035932,success,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,118,success,2,1,0.01694915,0.00847458,0.33333333,0.02542373,0.00847458,3,success,2.91815789,2.96500000,0.72440849,1.81000000,4.50000000,38,63,25,0.60317460,35,18,warning_stem_collisions,2.94478157,2.85000000,0.83371722,1.19000000,5.00000000,24722,34480,9758,0.71699536,2333,6320,warning_stem_collisions,64110,11.06835564,2783,1014,23.03629177,21.71928882,0.04473561,2,0.03119638,11535,0.15248860,4286095,426538,0.09951669,success,250,1737,-0.74836437,884,0.01473653,318,0.00530115,103,0.00171704,1552,0.02587227,431,0.00718489,,,0.00416757,0.02895627,-0.02478870,0.03312384,4375,59987,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-002,0000091142,AOS,A. O. Smith,0000091142-24-000041,2023,2024-02-13,1.0.3,0.3.0,1,3,0.11166530,26866,1551,2,0.00128949,success,3,0.05555556,0,0.00000000,2,0.03703704,0,0.00000000,0,0.00000000,54,success,3,1,0.05555556,0.01851852,0.50000000,0.07407407,0.03703704,7,success,2.67458333,2.38500000,0.74275938,1.63000000,4.25000000,24,24,0,1.00000000,21,0,success,2.97160063,2.89000000,0.85911986,1.26000000,5.00000000,10852,13985,3133,0.77597426,1596,2325,warning_stem_collisions,26826,10.19712685,1551,564,17.29593810,18.85238927,0.04406173,3,0.11183180,7012,0.20722265,1914385,177596,0.09276922,success,137,415,-0.50362319,457,0.01807038,153,0.00604982,51,0.00201661,206,0.00814551,166,0.00656386,,,0.00541716,0.01640965,-0.01099249,0.02182681,1356,25290,success,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-003,0000874761,AES,AES Corporation,0000874761-24-000011,2023,2024-02-26,1.0.3,0.3.0,1,5,0.04687969,106656,5022,4,0.00079650,success,1,0.00709220,0,0.00000000,1,0.00709220,0,0.00000000,0,0.00000000,141,success,2,0,0.01418440,0.00000000,1.00000000,0.01418440,0.01418440,3,success,3.00915254,2.93000000,0.67464564,1.62000000,4.70000000,59,77,18,0.76623377,40,12,warning_stem_collisions,2.91084881,2.83000000,0.81178893,1.19000000,5.00000000,40657,57089,16432,0.71216872,2759,9825,warning_stem_collisions,105893,11.57018443,5022,1980,21.08582238,21.20266139,0.03681074,5,0.04721747,21602,0.16943410,6410940,704347,0.10986642,success,508,1692,-0.53818182,1651,0.01641806,616,0.00612570,268,0.00266508,1389,0.01381265,946,0.00940732,,,0.00505171,0.01682578,-0.01177407,0.02187749,6003,100560,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-004,0001841666,APA,APA Corporation,0001784031-24-000003,2023,2024-02-22,1.0.3,0.3.0,0,0,0.00000000,61622,2856,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.94896492,2.82000000,0.84280705,1.25000000,5.00000000,24114,33513,9399,0.71954167,2251,5755,warning_stem_collisions,61592,11.02828727,2856,1331,21.56582633,21.23964887,0.04448630,0,0.00000000,11492,0.15724372,4359100,411968,0.09450758,success,246,1022,-0.61198738,917,0.01594117,369,0.00641471,124,0.00215562,556,0.00966553,507,0.00881371,,,0.00427648,0.01776650,-0.01349002,0.02204297,3201,57524,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-005,0000732717,T,AT&T,0000732717-24-000009,2023,2024-02-23,1.0.3,0.3.0,1,6,0.13384492,44828,2427,4,0.00164813,success,2,0.01754386,0,0.00000000,2,0.01754386,0,0.00000000,0,0.00000000,114,success,2,6,0.01754386,0.05263158,-0.50000000,0.07017544,-0.03508772,10,success,2.82702128,2.81000000,0.72984672,1.52000000,4.50000000,47,62,15,0.75806452,39,10,warning_stem_collisions,2.90584576,2.82000000,0.80618495,1.26000000,5.00000000,17440,23636,6196,0.73785751,2042,4552,warning_stem_collisions,44806,10.71009734,2427,917,18.46147507,20.31883481,0.04300763,6,0.13391064,14611,0.24590605,4360250,299418,0.06866992,success,233,651,-0.47285068,561,0.01323425,239,0.00563812,98,0.00231187,432,0.01019108,353,0.00832744,,,0.00549658,0.01535740,-0.00986082,0.02085397,2223,42390,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-006,0001551152,ABBV,AbbVie,0001551152-24-000011,2023,2024-02-20,1.0.3,0.3.0,0,0,0.00000000,47238,2470,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.88002483,2.75000000,0.81192082,1.19000000,5.00000000,18523,26204,7681,0.70687681,2281,4746,warning_stem_collisions,47238,10.76295393,2470,890,19.12469636,20.74266230,0.03302426,0,0.00000000,13000,0.21581062,3701766,322160,0.08702873,success,382,917,-0.41185527,809,0.01809803,357,0.00798640,140,0.00313192,621,0.01389231,383,0.00856804,,,0.00854567,0.02051408,-0.01196841,0.02905975,3037,44701,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-007,0000001800,ABT,Abbott Laboratories,0001628280-24-005348,2023,2024-02-16,1.0.3,0.3.0,0,0,0.00000000,38051,2018,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.90062550,2.80000000,0.78590203,1.29000000,5.00000000,15028,21130,6102,0.71121628,1903,3847,warning_stem_collisions,37779,10.53950867,2018,858,18.72101090,20.16374388,0.04579264,0,0.00000000,10233,0.21313422,2675005,261155,0.09762785,success,187,699,-0.57787810,600,0.01698995,214,0.00605975,88,0.00249186,431,0.01220445,265,0.00750389,,,0.00529520,0.01979329,-0.01449809,0.02508849,2117,35315,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-008,0001467373,ACN,Accenture,0001467373-23-000324,2023,2023-10-12,1.0.3,0.3.0,1,35,0.86349394,40533,2089,31,0.01483964,success,18,0.01543739,14,0.01200686,11,0.00943396,2,0.00171527,6,0.00514580,1166,success,30,21,0.02572899,0.01801029,0.17647059,0.04373928,0.00771870,89,success,2.87795158,2.74000000,0.79962974,1.30000000,4.93000000,537,715,178,0.75104895,282,108,warning_stem_collisions,2.84296798,2.74000000,0.81017827,1.19000000,5.00000000,15802,20797,4995,0.75982113,2006,3844,warning_stem_collisions,40552,10.61034038,2089,813,19.41215893,20.65266947,0.02880253,35,0.86308937,12762,0.23937427,2767778,270647,0.09778494,success,398,830,-0.35179153,830,0.02127714,443,0.01135635,92,0.00235843,577,0.01479146,289,0.00740855,,,0.01020277,0.02127714,-0.01107437,0.03147991,2885,39009,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-009,0000796343,ADBE,Adobe Inc.,0000796343-24-000006,2023,2024-01-17,1.0.3,0.3.0,1,121,2.58094791,46882,2309,80,0.03464703,success,33,0.01171875,20,0.00710227,24,0.00852273,9,0.00319602,9,0.00319602,2816,success,84,61,0.02982955,0.02166193,0.15862069,0.05149148,0.00816761,207,success,2.92645320,2.68500000,0.88023148,1.30000000,4.93000000,1218,1719,501,0.70855148,503,319,warning_stem_collisions,2.92083113,2.82000000,0.83373161,1.23000000,5.00000000,19251,25522,6271,0.75429042,2285,4943,warning_stem_collisions,46805,10.75374531,2309,1119,20.27067995,20.52193618,0.02636470,121,2.58519389,7467,0.13758476,2451373,319107,0.13017480,success,519,874,-0.25484566,719,0.01600303,367,0.00816844,86,0.00191413,488,0.01086158,310,0.00689978,,,0.01155156,0.01945291,-0.00790136,0.03100447,2848,44929,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
S2023-010,0000002488,AMD,Advanced Micro Devices,0000002488-24-000012,2023,2024-01-31,1.0.3,0.3.0,1,105,2.08689430,50314,2238,71,0.03172475,success,36,0.01410658,20,0.00783699,27,0.01057994,10,0.00391850,10,0.00391850,2552,success,38,34,0.01489028,0.01332288,0.05555556,0.02821317,0.00156740,143,success,2.95860443,2.89000000,0.85619617,1.30000000,5.00000000,1039,1597,558,0.65059487,440,277,warning_stem_collisions,2.91095169,2.85000000,0.83316193,1.19000000,5.00000000,19271,26964,7693,0.71469367,2170,4969,warning_stem_collisions,50382,10.82738925,2238,883,22.51206434,21.16447091,0.02768846,105,2.08407765,9068,0.15253154,2130305,336335,0.15788115,success,335,1095,-0.53146853,1036,0.02148976,593,0.01230061,127,0.00263436,380,0.00788235,398,0.00825572,,,0.00694891,0.02271360,-0.01576469,0.02966251,3182,48209,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
