company_id,cik,accession_number,warning_type,warning_detail
S2023-001,0000066740,0000066740-24-000016,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-001,0000066740,0000066740-24-000016,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-002,0000091142,0000091142-24-000041,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-003,0000874761,0000874761-24-000011,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-004,0001841666,0001784031-24-000003,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-004,0001841666,0001784031-24-000003,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-005,0000732717,0000732717-24-000009,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-006,0001551152,0001551152-24-000011,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-006,0001551152,0001551152-24-000011,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-007,0000001800,0001628280-24-005348,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-007,0000001800,0001628280-24-005348,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-008,0001467373,0001467373-23-000324,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-009,0000796343,0000796343-24-000006,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-010,0000002488,0000002488-24-000012,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-011,0000004977,0000004977-24-000053,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-012,0001090872,0001090872-23-000020,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-013,0000002969,0000002969-23-000047,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-013,0000002969,0000002969-23-000047,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-014,0001559720,0001559720-24-000006,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-015,0001086222,0001086222-24-000040,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-016,0000915913,0000915913-24-000016,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-016,0000915913,0000915913-24-000016,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-017,0001035443,0001035443-24-000072,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-018,0001097149,0001097149-24-000011,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-019,0001579241,0001579241-24-000006,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-020,0000352541,0000352541-24-000014,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-020,0000352541,0000352541-24-000014,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-021,0000899051,0000899051-24-000013,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-021,0000899051,0000899051-24-000013,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-022,0001652044,0001652044-24-000022,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-023,0000764180,0000764180-24-000018,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-024,0001018724,0001018724-24-000008,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-025,0001748790,0001748790-23-000030,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-025,0001748790,0001748790-23-000030,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-026,0001002910,0001002910-24-000056,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-027,0000006201,0000006201-24-000010,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-027,0000006201,0000006201-24-000010,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-028,0000004904,0000004904-24-000020,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-028,0000004904,0000004904-24-000020,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-029,0000004962,0000004962-24-000013,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-030,0000005272,0000005272-24-000023,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-031,0001053507,0001053507-24-000011,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-032,0001410636,0001410636-24-000050,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-032,0001410636,0001410636-24-000050,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-033,0000820027,0000820027-24-000015,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-034,0001037868,0001037868-24-000009,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-034,0001037868,0001037868-24-000009,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-035,0000318154,0000318154-24-000011,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-036,0000820313,0001558370-24-000866,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-037,0000006281,0000006281-23-000203,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-038,0000315293,0001628280-24-005392,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-039,0000320193,0000320193-23-000106,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-039,0000320193,0000320193-23-000106,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-040,0000006951,0000006951-23-000041,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-041,0001521332,0001521332-24-000011,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-042,0000947484,0000947484-24-000020,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-043,0000007084,0000007084-24-000009,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-044,0001596532,0001596532-24-000043,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-045,0000354190,0000950170-24-013370,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-046,0001267238,0001267238-24-000008,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-047,0000731802,0000731802-23-000028,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-047,0000731802,0000731802-23-000028,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-048,0000866787,0001558370-23-016668,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-048,0000866787,0001558370-23-016668,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-049,0000769397,0000769397-23-000036,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-050,0000008670,0000008670-23-000030,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-051,0000915912,0000915912-24-000004,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-051,0000915912,0000915912-24-000004,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-052,0000008818,0000008818-24-000003,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-053,0001069183,0001069183-24-000006,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-054,0001037540,0001656423-24-000007,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-054,0001037540,0001656423-24-000007,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-055,0001701605,0001701605-24-000033,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-056,0000009389,0001558370-24-001349,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-056,0000009389,0001558370-24-001349,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-057,0000070858,0000070858-24-000122,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-058,0001390777,0001390777-24-000051,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-058,0001390777,0001390777-24-000051,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-059,0000701985,0000701985-23-000008,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-059,0000701985,0000701985-23-000008,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-060,0000010456,0001628280-24-003932,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-061,0000010795,0000010795-23-000098,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-061,0000010795,0000010795-23-000098,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-062,0001067983,0000950170-24-019719,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-062,0001067983,0000950170-24-019719,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-063,0000764478,0000764478-23-000006,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-063,0000764478,0000764478-23-000006,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-064,0000012208,0000012208-24-000013,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-064,0000012208,0000012208-24-000013,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-065,0000842023,0001558370-23-015226,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-065,0000842023,0001558370-23-015226,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-066,0000875045,0000875045-24-000009,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-067,0001393818,0001193125-24-044485,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-068,0000012927,0000012927-24-000010,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-068,0000012927,0000012927-24-000010,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-069,0001075531,0001075531-24-000014,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-070,0000908255,0000908255-24-000007,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-070,0000908255,0000908255-24-000007,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-071,0000885725,0000885725-24-000017,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-072,0000014272,0000014272-24-000044,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-072,0000014272,0000014272-24-000044,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-073,0001730168,0001730168-23-000096,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-074,0001383312,0001383312-23-000037,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-075,0000079282,0000950170-24-018890,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-075,0000079282,0000950170-24-018890,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-076,0000014693,0000014693-23-000074,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-076,0000014693,0000014693-23-000074,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-077,0001316835,0000950170-24-018584,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-077,0001316835,0000950170-24-018584,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-078,0001996862,0001996862-24-000007,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-078,0001996862,0001996862-24-000007,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-079,0001043277,0001043277-24-000011,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-080,0001138118,0001138118-24-000006,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-080,0001138118,0001138118-24-000006,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-081,0001402057,0001402057-24-000015,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-082,0001324404,0001324404-24-000008,denominator_zero,AI sentence count is zero; AI-level values are missing
S2023-082,0001324404,0001324404-24-000008,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-083,0001156375,0001156375-24-000010,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-084,0000811156,0000811156-24-000044,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-084,0000811156,0000811156-24-000044,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-085,0000277948,0000277948-24-000010,single_ai_sentence,AI-level values retained from one direct AI sentence
S2023-085,0000277948,0000277948-24-000010,stem_collisions,ambiguous Porter stems excluded without score averaging
S2023-086,0000064803,0000064803-24-000007,stem_collisions,ambiguous Porter stems excluded without score averaging
