company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
P2025-001,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),0001628280-25-038077,2025,2025-08-06,1,20,0.4457420490761996,14,0.00656968559361802,44869,2131,success
P2025-002,0001973266,TKO,TKO Group Holdings,0001193125-26-071651,2025,2026-02-25,1,5,0.04252749402488709,4,0.0008970621215519175,117571,4459,success
P2025-003,0001335258,LYV,Live Nation Entertainment,0001335258-26-000009,2025,2026-02-19,0,0,0.0,0,0.0,49011,2202,success
P2025-004,0001744489,DIS,Walt Disney Company (The),0001744489-25-000155,2025,2025-11-13,1,10,0.1864384659843019,7,0.002577319587628866,53637,2716,success
P2025-005,0001065088,EBAY,eBay Inc.,0001065088-26-000027,2025,2026-02-19,1,62,1.2406699617793608,44,0.01901469317199654,49973,2314,success
P2025-006,0000815097,CCL,Carnival Corporation,0000815097-26-000007,2025,2026-01-27,1,7,0.1789640537914813,6,0.0028735632183908046,39114,2088,success
P2025-007,0001121788,GRMN,Garmin,0001193125-26-056028,2025,2026-02-18,0,0,0.0,0,0.0,52287,2321,success
P2025-008,0001403568,ULTA,Ulta Beauty,0001558370-25-003810,2025,2025-03-27,1,2,0.055789561772992276,2,0.0010718113612004287,35849,1866,success
P2025-009,0001286681,DPZ,Domino's,0001193125-26-062321,2025,2026-02-23,1,12,0.18230709630372363,9,0.0031835868411743897,65823,2827,success
P2025-010,0000109198,TJX,TJX Companies,0000109198-25-000010,2025,2025-04-02,1,4,0.11335298118340513,4,0.0024390243902439024,35288,1640,success
P2025-011,0000906163,NVR,"NVR, Inc.",0000906163-26-000018,2025,2026-02-11,1,1,0.03602175714131335,1,0.000643915003219575,27761,1553,success
P2025-012,0001792789,DASH,DoorDash,0001792789-26-000013,2025,2026-02-18,1,20,0.2864672854360032,14,0.005137614678899082,69816,2725,success
P2025-013,0001513761,NCLH,Norwegian Cruise Line Holdings,0001104659-26-022067,2025,2026-03-02,1,11,0.175139713726177,9,0.0032385750269881253,62807,2779,success
P2025-014,0000037996,F,Ford Motor Company,0000037996-26-000015,2025,2026-02-11,1,6,0.07564201157322777,6,0.0015263291783261257,79321,3931,success
P2025-015,0000313927,CHD,Church & Dwight,0001193125-26-048139,2025,2026-02-12,1,13,0.19320799583859702,8,0.0027201632097925877,67285,2941,success
P2025-016,0000040704,GIS,General Mills,0001193125-25-147079,2025,2025-06-26,0,0,0.0,0,0.0,37381,7010,success
P2025-017,0000021665,CL,Colgate-Palmolive,0000021665-26-000006,2025,2026-02-23,1,27,0.6368675551362188,22,0.010956175298804782,42395,2008,success
P2025-018,0000016918,STZ,Constellation Brands,0000016918-25-000022,2025,2025-04-23,1,14,0.2983675035164742,12,0.004311893639956881,46922,2783,success
P2025-019,0000091419,SJM,J.M. Smucker Company (The),0000091419-25-000056,2025,2025-06-18,1,3,0.06040471156750227,2,0.0008988764044943821,49665,2225,success
P2025-020,0000100493,TSN,Tyson Foods,0000100493-25-000095,2025,2025-11-10,1,2,0.03798237617745366,2,0.0007698229407236335,52656,2598,success
P2025-021,0000104169,WMT,Walmart,0000104169-25-000021,2025,2025-03-14,1,14,0.2971831284892483,7,0.0034860557768924302,47109,2008,success
P2025-022,0000034088,XOM,ExxonMobil,0000034088-26-000045,2025,2026-02-18,1,5,0.12184126519969783,3,0.0012695725772323319,41037,2363,success
P2025-023,0001539838,FANG,Diamondback Energy,0001539838-26-000010,2025,2026-02-25,1,12,0.1731301939058172,6,0.0019499512512187196,69312,3077,success
P2025-024,0000045012,HAL,Halliburton,0000045012-26-000015,2025,2026-02-06,1,5,0.15042570474442674,3,0.0009230769230769231,33239,3250,success
