company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,total_analysis_word_count,total_analysis_sentence_count,ai_sentence_count,ai_sentence_ratio,ai_detection_status,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status,report_concreteness_mean,report_concreteness_median,report_concreteness_standard_deviation,report_concreteness_min,report_concreteness_max,report_concreteness_matched_token_count,report_concreteness_eligible_token_count,report_concreteness_unmatched_token_count,report_concreteness_coverage,report_concreteness_unique_dictionary_entries,report_concreteness_stem_collision_count,report_concreteness_status,report_word_count,log_report_word_count,report_sentence_count,report_paragraph_count,report_mean_sentence_length,report_fog_index,report_numeric_token_ratio,report_ai_term_count,report_ai_terms_per_1000_words,report_table_text_word_count,report_table_text_ratio,source_html_bytes,analysis_text_bytes,analysis_text_to_html_ratio,report_control_status,report_positive_count,report_negative_count,report_net_tone,report_uncertainty_count,report_uncertainty_ratio,report_weak_modal_count,report_weak_modal_ratio,report_strong_modal_count,report_strong_modal_ratio,report_litigious_count,report_litigious_ratio,report_constraining_count,report_constraining_ratio,report_forward_looking_count,report_forward_looking_ratio,report_positive_ratio,report_negative_ratio,report_net_tone_by_words,report_sentiment_word_coverage,report_total_lm_matched_word_count,report_total_eligible_word_count,concreteness_status,lm_ai_status,lm_report_status,matching_strategy_version,concreteness_preprocessing_version
P2025-001,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),0001628280-25-038077,2025,2025-08-06,1.0.3,0.3.0,1,20,0.44574205,44869,2131,14,0.00656969,success,20,0.04048583,11,0.02226721,11,0.02226721,0,0.00000000,1,0.00202429,494,success,5,27,0.01012146,0.05465587,-0.68750000,0.06477733,-0.04453441,62,success,2.68593750,2.49000000,0.78110842,1.50000000,4.67000000,224,290,66,0.77241379,145,37,warning_stem_collisions,2.98924167,2.89000000,0.87972541,1.26000000,5.00000000,18422,24747,6325,0.74441346,2086,4265,warning_stem_collisions,44974,10.71383982,2131,922,21.10464571,21.07558122,0.02574821,20,0.44470138,9538,0.17497065,2510532,305043,0.12150532,success,227,853,-0.57962963,726,0.01691756,357,0.00831896,90,0.00209722,572,0.01332898,338,0.00787622,,,0.00528965,0.01987696,-0.01458731,0.02516661,2611,42914,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-002,0001973266,TKO,TKO Group Holdings,0001193125-26-071651,2025,2026-02-25,1.0.3,0.3.0,1,5,0.04252749,117571,4459,4,0.00089706,success,3,0.01818182,1,0.00606061,3,0.01818182,0,0.00000000,1,0.00606061,165,success,1,8,0.00606061,0.04848485,-0.77777778,0.05454545,-0.04242424,12,success,2.72694444,2.59000000,0.64927874,1.80000000,4.87000000,72,88,16,0.81818182,56,13,warning_stem_collisions,2.86930156,2.79000000,0.79247273,1.19000000,5.00000000,44986,62311,17325,0.72195920,2578,10915,warning_stem_collisions,117231,11.67190163,4459,1472,26.29087239,22.07563584,0.03538313,5,0.04265083,8127,0.06483033,6707328,780261,0.11632963,success,422,2036,-0.65663141,1591,0.01428046,813,0.00729730,260,0.00233370,1490,0.01337390,883,0.00792561,,,0.00378778,0.01827468,-0.01448690,0.02206245,6131,111411,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-003,0001335258,LYV,Live Nation Entertainment,0001335258-26-000009,2025,2026-02-19,1.0.3,0.3.0,0,0,0.00000000,49011,2202,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.89640229,2.82000000,0.80419241,1.19000000,5.00000000,19026,25348,6322,0.75059176,2118,4942,warning_stem_collisions,48819,10.79587486,2202,938,22.17029973,20.48497641,0.03125832,0,0.00000000,8172,0.14339106,2849635,322155,0.11305132,success,300,940,-0.51612903,831,0.01776058,407,0.00869863,141,0.00301353,501,0.01070764,442,0.00944666,,,0.00641176,0.02009019,-0.01367843,0.02650196,2911,46789,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-004,0001744489,DIS,Walt Disney Company (The),0001744489-25-000155,2025,2025-11-13,1.0.3,0.3.0,1,10,0.18643847,53637,2716,7,0.00257732,success,9,0.03396226,7,0.02641509,7,0.02641509,0,0.00000000,3,0.01132075,265,success,0,6,0.00000000,0.02264151,-1.00000000,0.02264151,-0.02264151,25,success,2.70687500,2.59000000,0.72003373,1.63000000,4.87000000,96,139,43,0.69064748,69,30,warning_stem_collisions,2.98651912,2.89000000,0.85063406,1.26000000,5.00000000,21259,29686,8427,0.71612881,2159,5644,warning_stem_collisions,53288,10.88346644,2716,1440,19.62002946,20.43605194,0.03156433,10,0.18765951,12306,0.18760862,4202853,362033,0.08613982,success,218,786,-0.56573705,680,0.01337030,235,0.00462062,89,0.00174994,602,0.01183665,367,0.00721603,,,0.00428636,0.01545449,-0.01116813,0.01974085,2499,50859,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-005,0001065088,EBAY,eBay Inc.,0001065088-26-000027,2025,2026-02-19,1.0.3,0.3.0,1,62,1.24066996,49973,2314,44,0.01901469,success,29,0.01781327,14,0.00859951,22,0.01351351,1,0.00061425,6,0.00368550,1628,success,20,53,0.01228501,0.03255528,-0.45205479,0.04484029,-0.02027027,117,success,2.90027108,2.85000000,0.80622255,1.50000000,5.00000000,664,954,290,0.69601677,382,185,warning_stem_collisions,2.86180230,2.74000000,0.82268696,1.19000000,5.00000000,19980,26297,6317,0.75978248,2189,4925,warning_stem_collisions,49885,10.81747564,2314,1065,21.55790838,20.68596644,0.02696201,62,1.24285857,8094,0.13960227,2723024,335678,0.12327398,success,332,1181,-0.56113681,938,0.01952499,491,0.01022044,88,0.00183177,648,0.01348848,416,0.00865927,,,0.00691076,0.02458317,-0.01767240,0.03149393,3415,48041,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-006,0000815097,CCL,Carnival Corporation,0000815097-26-000007,2025,2026-01-27,1.0.3,0.3.0,1,7,0.17896405,39114,2088,6,0.00287356,success,6,0.02272727,4,0.01515152,5,0.01893939,0,0.00000000,1,0.00378788,264,success,5,25,0.01893939,0.09469697,-0.66666667,0.11363636,-0.07575758,39,success,2.65268519,2.47000000,0.66939249,1.50000000,4.62000000,108,144,36,0.75000000,86,26,warning_stem_collisions,2.97019235,2.86000000,0.86263060,1.19000000,5.00000000,15441,20670,5229,0.74702467,2164,3720,warning_stem_collisions,38873,10.56805520,2088,1015,18.61733716,19.47795498,0.03177012,7,0.18007357,6732,0.14761539,2101715,259798,0.12361238,success,313,575,-0.29504505,551,0.01481302,247,0.00664032,90,0.00241955,378,0.01016211,334,0.00897922,,,0.00841466,0.01545824,-0.00704358,0.02387289,2140,37197,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-007,0001121788,GRMN,Garmin,0001193125-26-056028,2025,2026-02-18,1.0.3,0.3.0,0,0,0.00000000,52287,2321,0,0.00000000,success,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,,,,,,0,0,0,,0,0,warning_denominator_zero,2.91437429,2.86000000,0.82790061,1.26000000,5.00000000,20257,27894,7637,0.72621352,2029,5216,warning_stem_collisions,52031,10.85959497,2321,798,22.41749246,21.24664371,0.03776595,0,0.00000000,7079,0.11975977,4964710,351595,0.07081884,success,270,998,-0.57413249,916,0.01859710,391,0.00793828,94,0.00190844,443,0.00899401,401,0.00814131,,,0.00548168,0.02026190,-0.01478023,0.02574358,2943,49255,warning_denominator_zero,warning_denominator_zero,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-008,0001403568,ULTA,Ulta Beauty,0001558370-25-003810,2025,2025-03-27,1.0.3,0.3.0,1,2,0.05578956,35849,1866,2,0.00107181,success,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,0,0.00000000,44,success,1,0,0.02272727,0.00000000,1.00000000,0.02272727,0.02272727,1,success,2.87333333,2.60000000,0.82671659,1.72000000,4.79000000,21,32,11,0.65625000,17,8,warning_stem_collisions,2.95850693,2.87000000,0.85311494,1.23000000,5.00000000,15217,19666,4449,0.77377199,1922,3294,warning_stem_collisions,35798,10.48564730,1866,678,19.18435155,19.86003577,0.02821387,2,0.05586904,8197,0.18631663,2914231,239511,0.08218669,success,285,553,-0.31980907,546,0.01593788,279,0.00814408,52,0.00151789,253,0.00738514,247,0.00720999,,,0.00831922,0.01614221,-0.00782299,0.02446144,1838,34258,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-009,0001286681,DPZ,Domino's,0001193125-26-062321,2025,2026-02-23,1.0.3,0.3.0,1,12,0.18230710,65823,2827,9,0.00318359,success,8,0.03292181,1,0.00411523,5,0.02057613,0,0.00000000,1,0.00411523,243,success,2,10,0.00823045,0.04115226,-0.66666667,0.04938272,-0.03292181,21,success,2.67587629,2.61000000,0.64912590,1.59000000,4.48000000,97,125,28,0.77600000,65,13,warning_stem_collisions,2.94721023,2.87000000,0.84101171,1.19000000,5.00000000,25891,34119,8228,0.75884405,2050,5608,warning_stem_collisions,65649,11.09207765,2827,981,23.22214362,20.98388542,0.05104419,12,0.18279029,8819,0.11842671,4923021,436575,0.08868030,success,366,835,-0.39050791,1065,0.01749056,448,0.00735753,130,0.00213500,411,0.00674988,515,0.00845787,,,0.00601084,0.01371325,-0.00770241,0.01972409,3152,60890,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
P2025-010,0000109198,TJX,TJX Companies,0000109198-25-000010,2025,2025-04-02,1.0.3,0.3.0,1,4,0.11335298,35288,1640,4,0.00243902,success,2,0.01886792,0,0.00000000,1,0.00943396,0,0.00000000,0,0.00000000,106,success,1,3,0.00943396,0.02830189,-0.50000000,0.03773585,-0.01886792,6,success,2.43243902,2.36000000,0.51092828,1.62000000,3.40000000,41,55,14,0.74545455,27,14,warning_stem_collisions,2.89263023,2.82000000,0.82773078,1.26000000,5.00000000,13995,18687,4692,0.74891636,1853,3452,warning_stem_collisions,35408,10.47469306,1640,692,21.59024390,20.57343147,0.03036037,4,0.11296882,8307,0.19002631,2338219,234180,0.10015315,success,179,675,-0.58079625,681,0.02007428,327,0.00963919,53,0.00156232,288,0.00848956,205,0.00604292,,,0.00527650,0.01989742,-0.01462092,0.02517392,1997,33924,warning_stem_collisions,success,success,exact-then-unique-porter-1.0.0,baek-smart-porter-1.0.0
