company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,lm_ai_status
P2025-001,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),0001628280-25-038077,2025,2025-08-06,1.0.3,0.3.0,20,0.04048582995951417,11,0.022267206477732792,11,0.022267206477732792,0,0.0,1,0.0020242914979757085,494,success,5,27,0.010121457489878543,0.05465587044534413,-0.6875,0.06477732793522267,-0.044534412955465584,62,success,success
P2025-002,0001973266,TKO,TKO Group Holdings,0001193125-26-071651,2025,2026-02-25,1.0.3,0.3.0,3,0.01818181818181818,1,0.006060606060606061,3,0.01818181818181818,0,0.0,1,0.006060606060606061,165,success,1,8,0.006060606060606061,0.048484848484848485,-0.7777777777777778,0.05454545454545454,-0.04242424242424243,12,success,success
P2025-003,0001335258,LYV,Live Nation Entertainment,0001335258-26-000009,2025,2026-02-19,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
P2025-004,0001744489,DIS,Walt Disney Company (The),0001744489-25-000155,2025,2025-11-13,1.0.3,0.3.0,9,0.033962264150943396,7,0.026415094339622643,7,0.026415094339622643,0,0.0,3,0.011320754716981131,265,success,0,6,0.0,0.022641509433962263,-1.0,0.022641509433962263,-0.022641509433962263,25,success,success
P2025-005,0001065088,EBAY,eBay Inc.,0001065088-26-000027,2025,2026-02-19,1.0.3,0.3.0,29,0.017813267813267815,14,0.0085995085995086,22,0.013513513513513514,1,0.0006142506142506142,6,0.0036855036855036856,1628,success,20,53,0.012285012285012284,0.032555282555282554,-0.4520547945205479,0.04484029484029484,-0.02027027027027027,117,success,success
P2025-006,0000815097,CCL,Carnival Corporation,0000815097-26-000007,2025,2026-01-27,1.0.3,0.3.0,6,0.022727272727272728,4,0.015151515151515152,5,0.01893939393939394,0,0.0,1,0.003787878787878788,264,success,5,25,0.01893939393939394,0.0946969696969697,-0.6666666666666666,0.11363636363636363,-0.07575757575757576,39,success,success
P2025-007,0001121788,GRMN,Garmin,0001193125-26-056028,2025,2026-02-18,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
P2025-008,0001403568,ULTA,Ulta Beauty,0001558370-25-003810,2025,2025-03-27,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44,success,1,0,0.022727272727272728,0.0,1.0,0.022727272727272728,0.022727272727272728,1,success,success
P2025-009,0001286681,DPZ,Domino's,0001193125-26-062321,2025,2026-02-23,1.0.3,0.3.0,8,0.03292181069958848,1,0.00411522633744856,5,0.0205761316872428,0,0.0,1,0.00411522633744856,243,success,2,10,0.00823045267489712,0.0411522633744856,-0.6666666666666666,0.04938271604938271,-0.03292181069958848,21,success,success
P2025-010,0000109198,TJX,TJX Companies,0000109198-25-000010,2025,2025-04-02,1.0.3,0.3.0,2,0.018867924528301886,0,0.0,1,0.009433962264150943,0,0.0,0,0.0,106,success,1,3,0.009433962264150943,0.02830188679245283,-0.5,0.03773584905660377,-0.018867924528301886,6,success,success
P2025-011,0000906163,NVR,"NVR, Inc.",0000906163-26-000018,2025,2026-02-11,1.0.3,0.3.0,2,0.08,0,0.0,1,0.04,0,0.0,0,0.0,25,success,0,1,0.0,0.04,-1.0,0.04,-0.04,3,success,success
P2025-012,0001792789,DASH,DoorDash,0001792789-26-000013,2025,2026-02-18,1.0.3,0.3.0,14,0.023064250411861616,19,0.03130148270181219,12,0.019769357495881382,2,0.0032948929159802307,10,0.016474464579901153,607,success,6,29,0.009884678747940691,0.047775947281713346,-0.6571428571428571,0.057660626029654036,-0.03789126853377265,73,success,success
P2025-013,0001513761,NCLH,Norwegian Cruise Line Holdings,0001104659-26-022067,2025,2026-03-02,1.0.3,0.3.0,12,0.056338028169014086,2,0.009389671361502348,10,0.046948356807511735,0,0.0,1,0.004694835680751174,213,success,1,14,0.004694835680751174,0.06572769953051644,-0.8666666666666667,0.07042253521126761,-0.06103286384976526,29,success,success
P2025-014,0000037996,F,Ford Motor Company,0000037996-26-000015,2025,2026-02-11,1.0.3,0.3.0,6,0.025,10,0.041666666666666664,5,0.020833333333333332,0,0.0,3,0.0125,240,success,0,9,0.0,0.0375,-1.0,0.0375,-0.0375,28,success,success
P2025-015,0000313927,CHD,Church & Dwight,0001193125-26-048139,2025,2026-02-12,1.0.3,0.3.0,9,0.02564102564102564,5,0.014245014245014245,5,0.014245014245014245,0,0.0,0,0.0,351,success,3,18,0.008547008547008548,0.05128205128205128,-0.7142857142857143,0.05982905982905983,-0.042735042735042736,32,success,success
P2025-016,0000040704,GIS,General Mills,0001193125-25-147079,2025,2025-06-26,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
P2025-017,0000021665,CL,Colgate-Palmolive,0000021665-26-000006,2025,2026-02-23,1.0.3,0.3.0,17,0.015468607825295723,8,0.007279344858962694,9,0.00818926296633303,2,0.0018198362147406734,3,0.00272975432211101,1099,success,27,18,0.02456778889899909,0.01637852593266606,0.2,0.04094631483166515,0.00818926296633303,73,success,success
P2025-018,0000016918,STZ,Constellation Brands,0000016918-25-000022,2025,2025-04-23,1.0.3,0.3.0,11,0.03038674033149171,6,0.016574585635359115,7,0.019337016574585635,1,0.0027624309392265192,1,0.0027624309392265192,362,success,6,13,0.016574585635359115,0.03591160220994475,-0.3684210526315789,0.052486187845303865,-0.019337016574585635,37,success,success
P2025-019,0000091419,SJM,J.M. Smucker Company (The),0000091419-25-000056,2025,2025-06-18,1.0.3,0.3.0,4,0.05555555555555555,0,0.0,3,0.041666666666666664,0,0.0,0,0.0,72,success,3,2,0.041666666666666664,0.027777777777777776,0.2,0.06944444444444445,0.013888888888888888,9,success,success
P2025-020,0000100493,TSN,Tyson Foods,0000100493-25-000095,2025,2025-11-10,1.0.3,0.3.0,15,0.028517110266159697,17,0.03231939163498099,4,0.0076045627376425855,0,0.0,2,0.0038022813688212928,526,success,3,18,0.005703422053231939,0.034220532319391636,-0.7142857142857143,0.039923954372623575,-0.028517110266159697,49,success,success
P2025-021,0000104169,WMT,Walmart,0000104169-25-000021,2025,2025-03-14,1.0.3,0.3.0,11,0.023504273504273504,17,0.03632478632478633,7,0.014957264957264958,0,0.0,2,0.004273504273504274,468,success,6,27,0.01282051282051282,0.057692307692307696,-0.6363636363636364,0.07051282051282051,-0.04487179487179487,60,success,success
P2025-022,0000034088,XOM,ExxonMobil,0000034088-26-000045,2025,2026-02-18,1.0.3,0.3.0,3,0.013953488372093023,0,0.0,3,0.013953488372093023,1,0.004651162790697674,0,0.0,215,success,7,0,0.03255813953488372,0.0,1.0,0.03255813953488372,0.03255813953488372,11,success,success
P2025-023,0001539838,FANG,Diamondback Energy,0001539838-26-000010,2025,2026-02-25,1.0.3,0.3.0,9,0.03501945525291829,3,0.011673151750972763,5,0.019455252918287938,0,0.0,4,0.01556420233463035,257,success,2,21,0.007782101167315175,0.08171206225680934,-0.8260869565217391,0.08949416342412451,-0.07392996108949416,37,success,success
P2025-024,0000045012,HAL,Halliburton,0000045012-26-000015,2025,2026-02-06,1.0.3,0.3.0,2,0.043478260869565216,0,0.0,1,0.021739130434782608,0,0.0,0,0.0,46,success,0,2,0.0,0.043478260869565216,-1.0,0.043478260869565216,-0.043478260869565216,4,success,success
P2025-025,0000093410,CVX,Chevron Corporation,0000093410-26-000078,2025,2026-02-24,1.0.3,0.3.0,11,0.046610169491525424,2,0.00847457627118644,4,0.01694915254237288,1,0.00423728813559322,1,0.00423728813559322,236,success,3,9,0.012711864406779662,0.038135593220338986,-0.5,0.05084745762711865,-0.025423728813559324,26,success,success
P2025-026,0001140536,WTW,Willis Towers Watson,0001193125-26-069307,2025,2026-02-25,1.0.3,0.3.0,24,0.03314917127071823,14,0.019337016574585635,13,0.017955801104972375,0,0.0,3,0.004143646408839779,724,success,9,36,0.012430939226519336,0.049723756906077346,-0.6,0.062154696132596686,-0.03729281767955801,84,success,success
P2025-027,0001141391,MA,Mastercard,0001141391-26-000013,2025,2026-02-11,1.0.3,0.3.0,22,0.014915254237288136,42,0.02847457627118644,13,0.008813559322033898,2,0.0013559322033898306,9,0.006101694915254237,1475,success,11,32,0.007457627118644068,0.02169491525423729,-0.4883720930232558,0.029152542372881354,-0.01423728813559322,111,success,success
P2025-028,0000093751,STT,State Street Corporation,0000093751-26-000124,2025,2026-02-19,1.0.3,0.3.0,19,0.029275808936825885,4,0.0061633281972265025,9,0.01386748844375963,1,0.0015408320493066256,10,0.015408320493066256,649,success,14,9,0.02157164869029276,0.01386748844375963,0.21739130434782608,0.03543913713405239,0.007704160246533128,53,success,success
P2025-029,0000070858,BAC,Bank of America,0000070858-26-000157,2025,2026-02-25,1.0.3,0.3.0,62,0.03217436429683446,33,0.017125064867669952,25,0.012973533990659055,2,0.0010378827192527244,18,0.00934094447327452,1927,success,10,115,0.005189413596263622,0.05967825635703165,-0.84,0.06486766995329528,-0.054488842760768035,229,success,success
P2025-030,0000038777,BEN,Franklin Resources,0000038777-25-000238,2025,2025-11-10,1.0.3,0.3.0,10,0.04149377593360996,8,0.03319502074688797,4,0.016597510373443983,0,0.0,2,0.008298755186721992,241,success,4,13,0.016597510373443983,0.05394190871369295,-0.5294117647058824,0.07053941908713693,-0.03734439834024896,36,success,success
P2025-031,0001393818,BX,Blackstone Inc.,0001193125-26-082531,2025,2026-02-27,1.0.3,0.3.0,16,0.02002503128911139,13,0.016270337922403004,11,0.01376720901126408,0,0.0,6,0.007509386733416771,799,success,13,22,0.016270337922403004,0.02753441802252816,-0.2571428571428571,0.04380475594493116,-0.011264080100125156,68,success,success
P2025-032,0001281761,RF,Regions Financial Corporation,0001281761-26-000019,2025,2026-02-24,1.0.3,0.3.0,28,0.03655352480417755,17,0.022193211488250653,17,0.022193211488250653,0,0.0,6,0.007832898172323759,766,success,5,47,0.006527415143603133,0.06135770234986945,-0.8076923076923077,0.06788511749347259,-0.05483028720626632,98,success,success
P2025-033,0000895421,MS,Morgan Stanley,0000895421-26-000086,2025,2026-02-19,1.0.3,0.3.0,13,0.019696969696969695,16,0.024242424242424242,6,0.00909090909090909,3,0.004545454545454545,13,0.019696969696969695,660,success,3,23,0.004545454545454545,0.03484848484848485,-0.7692307692307693,0.03939393939393939,-0.030303030303030304,67,success,success
P2025-034,0000004977,AFL,Aflac,0001628280-26-011402,2025,2026-02-25,1.0.3,0.3.0,5,0.032467532467532464,4,0.025974025974025976,2,0.012987012987012988,2,0.012987012987012988,0,0.0,154,success,3,3,0.01948051948051948,0.01948051948051948,0.0,0.03896103896103896,0.0,16,success,success
P2025-035,0001136893,FIS,Fidelity National Information Services,0001136893-26-000013,2025,2026-02-24,1.0.3,0.3.0,36,0.02608695652173913,56,0.04057971014492753,21,0.015217391304347827,3,0.002173913043478261,26,0.01884057971014493,1380,success,23,54,0.016666666666666666,0.0391304347826087,-0.4025974025974026,0.05579710144927536,-0.02246376811594203,193,success,success
P2025-036,0000036270,MTB,M&T Bank,0000036270-26-000010,2025,2026-02-18,1.0.3,0.3.0,20,0.03205128205128205,11,0.017628205128205128,10,0.016025641025641024,0,0.0,7,0.011217948717948718,624,success,2,25,0.003205128205128205,0.04006410256410257,-0.8518518518518519,0.04326923076923077,-0.03685897435897436,61,success,success
P2025-037,0001512673,XYZ,"Block, Inc.",0001628280-26-012254,2025,2026-02-26,1.0.3,0.3.0,62,0.03457891801450084,34,0.018962632459564976,40,0.022308979364194088,4,0.002230897936419409,23,0.012827663134411601,1793,success,27,55,0.01505856107083101,0.03067484662576687,-0.34146341463414637,0.04573340769659788,-0.015616285554935862,197,success,success
P2025-038,0002012383,BLK,BlackRock,0001193125-26-071966,2025,2026-02-25,1.0.3,0.3.0,31,0.02203269367448472,32,0.022743425728500355,15,0.010660980810234541,0,0.0,16,0.011371712864250177,1407,success,10,54,0.007107320540156361,0.03837953091684435,-0.6875,0.04548685145700071,-0.03127221037668799,138,success,success
P2025-039,0000072971,WFC,Wells Fargo,0000072971-26-000133,2025,2026-02-24,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,success,0,0,0.0,0.0,,0.0,0.0,0,success,success
P2025-040,0000315293,AON,Aon plc,0001628280-26-008116,2025,2026-02-13,1.0.3,0.3.0,16,0.02203856749311295,34,0.046831955922865015,8,0.011019283746556474,0,0.0,6,0.008264462809917356,726,success,11,28,0.015151515151515152,0.03856749311294766,-0.4358974358974359,0.05371900826446281,-0.023415977961432508,93,success,success
P2025-041,0001035267,ISRG,Intuitive Surgical,0001035267-26-000010,2025,2026-02-03,1.0.3,0.3.0,38,0.025903203817314247,51,0.034764826175869123,28,0.0190865712338105,5,0.0034083162917518746,21,0.014314928425357873,1467,success,10,33,0.006816632583503749,0.022494887525562373,-0.5348837209302325,0.02931152010906612,-0.015678254942058625,151,success,success
P2025-042,0000313616,DHR,Danaher Corporation,0000313616-26-000062,2025,2026-02-24,1.0.3,0.3.0,21,0.03756708407871199,9,0.016100178890876567,15,0.026833631484794274,1,0.0017889087656529517,4,0.007155635062611807,559,success,5,29,0.008944543828264758,0.0518783542039356,-0.7058823529411765,0.06082289803220036,-0.04293381037567084,69,success,success
P2025-043,0000860730,HCA,HCA Healthcare,0001193125-26-044769,2025,2026-02-10,1.0.3,0.3.0,46,0.02213666987487969,37,0.0178055822906641,30,0.014436958614051972,4,0.0019249278152069298,25,0.01203079884504331,2078,success,23,72,0.011068334937439845,0.03464870067372473,-0.5157894736842106,0.04571703561116458,-0.02358036573628489,201,success,success
P2025-044,0000872589,REGN,Regeneron Pharmaceuticals,0000872589-26-000008,2025,2026-02-04,1.0.3,0.3.0,13,0.04905660377358491,13,0.04905660377358491,6,0.022641509433962263,0,0.0,2,0.007547169811320755,265,success,1,15,0.0037735849056603774,0.05660377358490566,-0.875,0.06037735849056604,-0.052830188679245285,39,success,success
P2025-045,0001071739,CNC,Centene Corporation,0001071739-26-000049,2025,2026-02-17,1.0.3,0.3.0,27,0.034220532319391636,20,0.025348542458808618,12,0.015209125475285171,1,0.0012674271229404308,5,0.0063371356147021544,789,success,5,28,0.0063371356147021544,0.035487959442332066,-0.696969696969697,0.04182509505703422,-0.029150823827629912,81,success,success
P2025-046,0001000228,HSIC,Henry Schein,0001000228-26-000013,2025,2026-02-24,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,success,1,0,0.05263157894736842,0.0,1.0,0.05263157894736842,0.05263157894736842,1,success,success
P2025-047,0001000697,WAT,Waters Corporation,0001193125-26-062604,2025,2026-02-23,1.0.3,0.3.0,21,0.0410958904109589,11,0.021526418786692758,11,0.021526418786692758,1,0.0019569471624266144,2,0.003913894324853229,511,success,5,36,0.009784735812133072,0.07045009784735812,-0.7560975609756098,0.08023483365949119,-0.060665362035225046,75,success,success
P2025-048,0000731766,UNH,UnitedHealth Group,0000731766-26-000062,2025,2026-03-02,1.0.3,0.3.0,14,0.022690437601296597,13,0.02106969205834684,11,0.017828200972447326,4,0.006482982171799027,10,0.01620745542949757,617,success,6,28,0.009724473257698542,0.04538087520259319,-0.6470588235294118,0.055105348460291734,-0.03565640194489465,73,success,success
P2025-049,0001555280,ZTS,Zoetis,0001555280-26-000011,2025,2026-02-12,1.0.3,0.3.0,31,0.03229166666666667,28,0.029166666666666667,22,0.022916666666666665,0,0.0,15,0.015625,960,success,12,31,0.0125,0.03229166666666667,-0.4418604651162791,0.04479166666666667,-0.019791666666666666,116,success,success
P2025-050,0000010456,BAX,Baxter International,0001628280-26-007733,2025,2026-02-12,1.0.3,0.3.0,23,0.03095558546433378,21,0.02826379542395693,9,0.012113055181695828,3,0.004037685060565276,6,0.008075370121130552,743,success,6,26,0.008075370121130552,0.034993270524899055,-0.625,0.04306864064602961,-0.026917900403768506,83,success,success
P2025-051,0000842023,TECH,Bio-Techne,0001558370-25-011716,2025,2025-08-22,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
