pilot_id,_company_key,cik,symbol,security,form,filing_date,report_date,acceptance_datetime,accession_number,primary_document,primary_doc_description,file_number,film_number,is_xbrl,is_inline_xbrl,metadata_fragment,eligible_2025_10k,selection_status,selection_reason,amendment_exists,amendment_accession_numbers,amendment_filing_dates,amendment_report_dates,amendment_link_status,manual_review_required,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-001,cik:0001754301,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),10-K,2025-08-06,2025-06-30,2025-08-06T10:57:44.000Z,0001628280-25-038077,fox-20250630.htm,10-K,001-38776,251187365,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,True,not_replaced,,,,P2025-001,,20250729,,,1,included
P2025-002,cik:0001973266,0001973266,TKO,TKO Group Holdings,10-K,2026-02-25,2025-12-31,2026-02-25T21:18:22.000Z,0001193125-26-071651,tko-20251231.htm,10-K,001-41797,26678893,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-002,,20250729,,,1,included
P2025-003,cik:0001335258,0001335258,LYV,Live Nation Entertainment,10-K,2026-02-19,2025-12-31,2026-02-19T21:42:58.000Z,0001335258-26-000009,lyv-20251231.htm,10-K,001-32601,26655189,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-003,,20250729,,,1,included
P2025-004,cik:0001744489,0001744489,DIS,Walt Disney Company (The),10-K,2025-11-13,2025-09-27,2025-11-13T11:44:29.000Z,0001744489-25-000155,dis-20250927.htm,FORM 10-K,001-38842,251475282,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-004,,20250729,,,1,included
P2025-005,cik:0001065088,0001065088,EBAY,eBay Inc.,10-K,2026-02-19,2025-12-31,2026-02-19T21:04:20.000Z,0001065088-26-000027,ebay-20251231.htm,10-K,001-37713,26654271,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-005,,20250729,,,1,included
P2025-006,cik:0000815097,0000815097,CCL,Carnival Corporation,10-K,2026-01-27,2025-11-30,2026-01-27T15:06:35.000Z,0000815097-26-000007,ccl-20251130.htm,10-K,001-09610,26562452,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-006,,20250729,,,1,included
P2025-007,cik:0001121788,0001121788,GRMN,Garmin,10-K,2026-02-18,2025-12-27,2026-02-18T12:01:04.000Z,0001193125-26-056028,grmn-20251227.htm,10-K,001-41118,26645385,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-007,,20250729,,,1,included
P2025-008,cik:0001403568,0001403568,ULTA,Ulta Beauty,10-K,2025-03-27,2025-02-01,2025-03-27T20:05:28.000Z,0001558370-25-003810,ulta-20250201x10k.htm,10-K,001-33764,25779269,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-008,,20250729,,,1,included
P2025-009,cik:0001286681,0001286681,DPZ,Domino's,10-K,2026-02-23,2025-12-28,2026-02-23T11:10:05.000Z,0001193125-26-062321,dpz-20251228.htm,10-K,001-32242,26661996,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-009,,20250729,,,1,included
P2025-010,cik:0000109198,0000109198,TJX,TJX Companies,10-K,2025-04-02,2025-02-01,2025-04-02T15:43:31.000Z,0000109198-25-000010,tjx-20250201.htm,10-K,001-04908,25802831,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-010,,20250729,,,1,included
