pilot_id,_company_key,cik,symbol,security,sec_entity_name,sec_tickers,sec_exchanges,sic,sic_description,state_of_incorporation,fiscal_year_end,metadata_source,metadata_status,historical_fragment_count,retrieved_at,selection_status,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-001,cik:0001754301,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),Fox Corp,FOXA|FOX,Nasdaq|Nasdaq,4833,Television Broadcasting Stations,DE,0630,https://data.sec.gov/submissions/CIK0001754301.json,identity_review,0,2026-07-29T10:25:36.907643+00:00,,not_replaced,,,,P2025-001,,20250729,,,1,included
P2025-002,cik:0001973266,0001973266,TKO,TKO Group Holdings,"TKO Group Holdings, Inc.",TKO,NYSE,7900,Services-Amusement & Recreation Services,DE,1231,https://data.sec.gov/submissions/CIK0001973266.json,success,0,2026-07-29T10:25:36.931181+00:00,,not_replaced,,,,P2025-002,,20250729,,,1,included
P2025-003,cik:0001335258,0001335258,LYV,Live Nation Entertainment,"Live Nation Entertainment, Inc.",LYV,NYSE,7900,Services-Amusement & Recreation Services,DE,1231,https://data.sec.gov/submissions/CIK0001335258.json,success,0,2026-07-29T10:25:36.944594+00:00,,not_replaced,,,,P2025-003,,20250729,,,1,included
P2025-004,cik:0001744489,0001744489,DIS,Walt Disney Company (The),Walt Disney Co,DIS,NYSE,7990,Services-Miscellaneous Amusement & Recreation,DE,1003,https://data.sec.gov/submissions/CIK0001744489.json,success,0,2026-07-29T10:25:37.006718+00:00,,not_replaced,,,,P2025-004,,20250729,,,1,included
P2025-005,cik:0001065088,0001065088,EBAY,eBay Inc.,EBAY INC,EBAY,Nasdaq,7389,"Services-Business Services, NEC",DE,1231,https://data.sec.gov/submissions/CIK0001065088.json,success,0,2026-07-29T10:25:37.031611+00:00,,not_replaced,,,,P2025-005,,20250729,,,1,included
P2025-006,cik:0000815097,0000815097,CCL,Carnival Corporation,Carnival Corp Ltd.,CCL,NYSE,4400,Water Transportation,D0,1130,https://data.sec.gov/submissions/CIK0000815097.json,success,0,2026-07-29T10:25:37.055835+00:00,,not_replaced,,,,P2025-006,,20250729,,,1,included
P2025-007,cik:0001121788,0001121788,GRMN,Garmin,GARMIN LTD,GRMN,NYSE,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",V8,1226,https://data.sec.gov/submissions/CIK0001121788.json,success,0,2026-07-29T10:25:37.083694+00:00,,not_replaced,,,,P2025-007,,20250729,,,1,included
P2025-008,cik:0001403568,0001403568,ULTA,Ulta Beauty,"Ulta Beauty, Inc.",ULTA,Nasdaq,5990,"Retail-Retail Stores, NEC",,0130,https://data.sec.gov/submissions/CIK0001403568.json,success,0,2026-07-29T10:25:37.110415+00:00,,not_replaced,,,,P2025-008,,20250729,,,1,included
P2025-009,cik:0001286681,0001286681,DPZ,Domino's,DOMINOS PIZZA INC,DPZ,Nasdaq,5140,Wholesale-Groceries & Related Products,DE,0102,https://data.sec.gov/submissions/CIK0001286681.json,success,0,2026-07-29T10:25:37.131695+00:00,,not_replaced,,,,P2025-009,,20250729,,,1,included
P2025-010,cik:0000109198,0000109198,TJX,TJX Companies,TJX COMPANIES INC /DE/,TJX,NYSE,5651,Retail-Family Clothing Stores,DE,0201,https://data.sec.gov/submissions/CIK0000109198.json,success,0,2026-07-29T10:25:37.157825+00:00,,not_replaced,,,,P2025-010,,20250729,,,1,included
P2025-011,cik:0000906163,0000906163,NVR,"NVR, Inc.",NVR INC,NVR,NYSE,1531,Operative Builders,VA,1231,https://data.sec.gov/submissions/CIK0000906163.json,success,0,2026-07-29T10:25:37.184051+00:00,,not_replaced,,,,P2025-011,,20250729,,,1,included
P2025-012,cik:0001792789,0001792789,DASH,DoorDash,"DoorDash, Inc.",DASH,Nasdaq,7389,"Services-Business Services, NEC",DE,1231,https://data.sec.gov/submissions/CIK0001792789.json,success,0,2026-07-29T10:25:37.209387+00:00,,not_replaced,,,,P2025-012,,20250729,,,1,included
P2025-013,cik:0001513761,0001513761,NCLH,Norwegian Cruise Line Holdings,Norwegian Cruise Line Holdings Ltd.,NCLH,NYSE,4400,Water Transportation,D0,1231,https://data.sec.gov/submissions/CIK0001513761.json,success,0,2026-07-29T10:25:37.231150+00:00,,not_replaced,,,,P2025-013,,20250729,,,1,included
P2025-014,cik:0000037996,0000037996,F,Ford Motor Company,FORD MOTOR CO,F|F-PB|F-PC|F-PD,NYSE|NYSE|NYSE|NYSE,3711,Motor Vehicles & Passenger Car Bodies,DE,1231,https://data.sec.gov/submissions/CIK0000037996.json,success,0,2026-07-29T10:25:37.255248+00:00,,not_replaced,,,,P2025-014,,20250729,,,1,included
P2025-015,cik:0000313927,0000313927,CHD,Church & Dwight,CHURCH & DWIGHT CO INC /DE/,CHD,NYSE,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",DE,1231,https://data.sec.gov/submissions/CIK0000313927.json,success,0,2026-07-29T10:25:37.284858+00:00,,not_replaced,,,,P2025-015,,20250729,,,1,included
P2025-016,cik:0000040704,0000040704,GIS,General Mills,GENERAL MILLS INC,GIS,NYSE,2040,Grain Mill Products,DE,0530,https://data.sec.gov/submissions/CIK0000040704.json,success,0,2026-07-29T10:25:37.316316+00:00,,not_replaced,,,,P2025-016,,20250729,,,1,included
P2025-017,cik:0000021665,0000021665,CL,Colgate-Palmolive,COLGATE PALMOLIVE CO,CL,NYSE,2844,"Perfumes, Cosmetics & Other Toilet Preparations",DE,1231,https://data.sec.gov/submissions/CIK0000021665.json,success,0,2026-07-29T10:25:37.341466+00:00,,not_replaced,,,,P2025-017,,20250729,,,1,included
