_company_key,sample_year,snapshot_date,symbol,security,gics_sector,gics_sub_industry,headquarters,date_added,cik,founded,metadata_status,source_url,exclusion_reason,official_source_checked,replacement_status,selection_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
cik:0001390777,2025,2026-01-01,BK,Bank of New York Mellon,,,,,0001390777,,added_from_historical_validation,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0000016732,2025,2026-01-01,CPB,Campbell's,,,,,0000016732,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0000023217,2025,2026-01-01,CAG,Conagra Brands,,,,,0000023217,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
name:coterra energy,2025,2026-01-01,CTRA,Coterra Energy,,,,,,,restored_from_change_history,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,CIK_unverified,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
name:dayforce,2025,2026-01-01,DAY,Dayforce,,,,,,,restored_from_change_history,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,CIK_unverified,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0001352010,2025,2026-01-01,EPAM,EPAM Systems,,,,,0001352010,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
name:hologic,2025,2026-01-01,HOLX,Hologic,,,,,,,restored_from_change_history,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,CIK_unverified,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0001679273,2025,2026-01-01,LW,Lamb Weston,,,,,0001679273,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0000062709,2025,2026-01-01,MMC,Marsh & McLennan,,,,,0000062709,,added_from_historical_validation,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0000891103,2025,2026-01-01,MTCH,Match Group,,,,,0000891103,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0001179929,2025,2026-01-01,MOH,Molina Healthcare,,,,,0001179929,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0001590955,2025,2026-01-01,PAYC,Paycom,,,,,0001590955,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0000945841,2025,2026-01-01,POOL,Pool Corporation,,,,,0000945841,,cik_enriched_from_sec_ticker_map,https://en.wikipedia.org/w/index.php?title=List_of_S%26P_500_companies&printable=yes,GICS_sector_missing,data/raw/sec_company_tickers_2026-07-24.json (SEC official snapshot),excluded_before_sampling; no one-for-one replacement,,,,,,,,,,,
cik:0000217346,2025,2026-01-01,TXT,Textron,Industrials,Aerospace & Defense,,,0000217346,,,,no_eligible_2025_report_date_10k,,replaced,excluded_after_filing_validation,,P2025-R001,no_eligible_2025_report_date_10k,P2025-059,P2025-R001,20250729,,7,0,excluded
