pilot_id,sample_year,snapshot_date,_company_key,cik,symbol,security,gics_sector,gics_sub_industry,sampling_seed,sector_population_n,sector_target_n,within_sector_random_order,selection_status,replacement_for,selection_reason
P2025-001,2025,2026-01-01,cik:0001754301,0001754301,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),Communication Services,Broadcasting,20250729,19,4,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-002,2025,2026-01-01,cik:0001973266,0001973266,TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,20250729,19,4,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-003,2025,2026-01-01,cik:0001335258,0001335258,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,20250729,19,4,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-004,2025,2026-01-01,cik:0001744489,0001744489,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,20250729,19,4,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-005,2025,2026-01-01,cik:0001065088,0001065088,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,20250729,47,10,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-006,2025,2026-01-01,cik:0000815097,0000815097,CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",20250729,47,10,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-007,2025,2026-01-01,cik:0001121788,0001121788,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,20250729,47,10,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-008,2025,2026-01-01,cik:0001403568,0001403568,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,20250729,47,10,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-009,2025,2026-01-01,cik:0001286681,0001286681,DPZ,Domino's,Consumer Discretionary,Restaurants,20250729,47,10,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
P2025-010,2025,2026-01-01,cik:0000109198,0000109198,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,20250729,47,10,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order
