company_id,final_sample_id,cik,ticker,accession_number,section_code,section_name,section_order,heading_text,extraction_status,first_paragraph_order,last_paragraph_order,paragraph_count,sentence_count,word_count,character_count,analysis_text_file,warning_message
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_1,Business,1,ITEM 1. BUSINESS,detected,39,180,142,412,10814,73018,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_1_business.txt,low_heading_score
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_1a,Risk Factors,2,ITEM 1A. RISK FACTORS,detected,181,280,100,304,9358,63120,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_1a_risk_factors.txt,
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_1b,Unresolved Staff Comments,3,ITEM 1B. UNRESOLVED STAFF COMMENTS,detected,281,282,2,3,6,39,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_1b_unresolved_staff_comments.txt,section_too_short
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_1c,Cybersecurity,4,ITEM 1C. CYBERSECURITY,detected,283,298,16,34,793,5640,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_1c_cybersecurity.txt,
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_2,Properties,5,ITEM 2. PROPERTIES,detected,299,302,4,9,189,1185,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_2_properties.txt,
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_3,Legal Proceedings,6,ITEM 3. LEGAL PROCEEDINGS,detected,303,307,5,7,38,267,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_3_legal_proceedings.txt,section_too_short
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_5,Market for Registrant's Common Equity,7,"ITEM 5. MARKET FOR REGISTRANT’S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES",detected,308,314,7,12,370,2301,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_5_stock_market_information.txt,
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_7,Management's Discussion and Analysis,8,ITEM 7. MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS,detected,315,480,166,307,8037,53811,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_7_management_discussion_and_analysis.txt,
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_7a,Market Risk,9,ITEM 7A. QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK,detected,481,492,12,19,350,2266,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_7a_market_risk.txt,
P2025-001,P2025-001,0001754301,FOXA|FOX,0001628280-25-038077,item_8,Financial Statements and Supplementary Data,10,ITEM 8. FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA,detected,493,1055,563,955,24254,150713,2025/pilot_100/text/section_text/0001754301/0001628280-25-038077/item_8_financial_statements.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_1,Business,1,,not_present,,,0,0,0,0,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_1_business.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_1a,Risk Factors,2,Item 1A. R isk Factors,detected,199,469,271,760,25491,167406,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_1a_risk_factors.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_1b,Unresolved Staff Comments,3,Item 1B. Unresolved Staff Comme nts,detected,470,494,25,102,3105,22414,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_1b_unresolved_staff_comments.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_1c,Cybersecurity,4,,not_present,,,0,0,0,0,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_1c_cybersecurity.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_2,Properties,5,Item 2. Propert ies,detected,495,498,4,12,253,1690,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_2_properties.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_3,Legal Proceedings,6,Item 3. Legal Proceedin gs,detected,499,503,5,9,81,503,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_3_legal_proceedings.txt,
P2025-002,P2025-002,0001973266,TKO,0001193125-26-071651,item_5,Market for Registrant's Common Equity,7,"Item 5. Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securit ies",detected,504,523,20,33,878,5326,2025/pilot_100/text/section_text/0001973266/0001193125-26-071651/item_5_stock_market_information.txt,
