sample_order,company_id,final_sample_id,ticker,symbol,company_name,security,_company_key,cik,gics_sector,gics_sub_industry,accession_number,primary_document,form,filing_date,report_date,report_year,filing_url,source_manifest,sample_group,batch_id,sampling_seed,within_sector_random_order,r2_object_key
1,P2025-001,P2025-001,FOXA|FOX,FOXA|FOX,Fox Corporation (Class A)|Fox Corporation (Class B),Fox Corporation (Class A)|Fox Corporation (Class B),cik:0001754301,0001754301,Communication Services,Broadcasting,0001628280-25-038077,fox-20250630.htm,10-K,2025-08-06,2025-06-30,2025,https://www.sec.gov/Archives/edgar/data/1754301/000162828025038077/fox-20250630.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,1,2025/pilot_100/html/raw/0001754301/0001628280-25-038077.html
2,P2025-002,P2025-002,TKO,TKO,TKO Group Holdings,TKO Group Holdings,cik:0001973266,0001973266,Communication Services,Movies & Entertainment,0001193125-26-071651,tko-20251231.htm,10-K,2026-02-25,2025-12-31,2025,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/tko-20251231.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,2,2025/pilot_100/html/raw/0001973266/0001193125-26-071651.html
3,P2025-003,P2025-003,LYV,LYV,Live Nation Entertainment,Live Nation Entertainment,cik:0001335258,0001335258,Communication Services,Movies & Entertainment,0001335258-26-000009,lyv-20251231.htm,10-K,2026-02-19,2025-12-31,2025,https://www.sec.gov/Archives/edgar/data/1335258/000133525826000009/lyv-20251231.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,3,2025/pilot_100/html/raw/0001335258/0001335258-26-000009.html
4,P2025-004,P2025-004,DIS,DIS,Walt Disney Company (The),Walt Disney Company (The),cik:0001744489,0001744489,Communication Services,Movies & Entertainment,0001744489-25-000155,dis-20250927.htm,10-K,2025-11-13,2025-09-27,2025,https://www.sec.gov/Archives/edgar/data/1744489/000174448925000155/dis-20250927.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,4,2025/pilot_100/html/raw/0001744489/0001744489-25-000155.html
5,P2025-005,P2025-005,EBAY,EBAY,eBay Inc.,eBay Inc.,cik:0001065088,0001065088,Consumer Discretionary,Broadline Retail,0001065088-26-000027,ebay-20251231.htm,10-K,2026-02-19,2025-12-31,2025,https://www.sec.gov/Archives/edgar/data/1065088/000106508826000027/ebay-20251231.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,1,2025/pilot_100/html/raw/0001065088/0001065088-26-000027.html
6,P2025-006,P2025-006,CCL,CCL,Carnival Corporation,Carnival Corporation,cik:0000815097,0000815097,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0000815097-26-000007,ccl-20251130.htm,10-K,2026-01-27,2025-11-30,2025,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,2,2025/pilot_100/html/raw/0000815097/0000815097-26-000007.html
7,P2025-007,P2025-007,GRMN,GRMN,Garmin,Garmin,cik:0001121788,0001121788,Consumer Discretionary,Consumer Electronics,0001193125-26-056028,grmn-20251227.htm,10-K,2026-02-18,2025-12-27,2025,https://www.sec.gov/Archives/edgar/data/1121788/000119312526056028/grmn-20251227.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,3,2025/pilot_100/html/raw/0001121788/0001193125-26-056028.html
8,P2025-008,P2025-008,ULTA,ULTA,Ulta Beauty,Ulta Beauty,cik:0001403568,0001403568,Consumer Discretionary,Other Specialty Retail,0001558370-25-003810,ulta-20250201x10k.htm,10-K,2025-03-27,2025-02-01,2025,https://www.sec.gov/Archives/edgar/data/1403568/000155837025003810/ulta-20250201x10k.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,4,2025/pilot_100/html/raw/0001403568/0001558370-25-003810.html
9,P2025-009,P2025-009,DPZ,DPZ,Domino's,Domino's,cik:0001286681,0001286681,Consumer Discretionary,Restaurants,0001193125-26-062321,dpz-20251228.htm,10-K,2026-02-23,2025-12-28,2025,https://www.sec.gov/Archives/edgar/data/1286681/000119312526062321/dpz-20251228.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,5,2025/pilot_100/html/raw/0001286681/0001193125-26-062321.html
10,P2025-010,P2025-010,TJX,TJX,TJX Companies,TJX Companies,cik:0000109198,0000109198,Consumer Discretionary,Apparel Retail,0000109198-25-000010,tjx-20250201.htm,10-K,2025-04-02,2025-02-01,2025,https://www.sec.gov/Archives/edgar/data/109198/000010919825000010/tjx-20250201.htm,2025/pilot_100/sample/final_analysis_sample_100.csv,pilot_100,1,20250729,6,2025/pilot_100/html/raw/0000109198/0000109198-25-000010.html
