variable,N,missing_N,mean,standard_deviation,minimum,p25,median,p75,maximum
ai_sentence_count,2829,0,6.92011311417462,14.24078085317921,0.0,0.0,1.0,7.0,137.0
log1p_ai_sentence_count,2829,0,1.1652000100152602,1.2506411719444803,0.0,0.0,0.6931471805599453,2.0794415416798357,4.927253685157205
whole_report_concreteness,2829,0,2.8992888241852244,0.04385752558525303,2.77133331,2.8671983,2.89643693,2.92687407,3.06036361
ai_concreteness,1659,1170,2.8105993947980714,0.20524140520983314,2.17166667,2.67162612,2.785,2.9279489400000003,3.75
past_tense_share,2829,0,0.22880376397380842,0.04611275536344797,0.1016260162601626,0.1956378056840713,0.2248433468485071,0.257736516357206,0.4428947368421053
present_tense_share,2829,0,0.7384717048213373,0.04608496972876693,0.5307017543859649,0.708252615265401,0.7427572427572428,0.770804642927405,0.8861788617886179
future_tense_share,2829,0,0.03272453120485417,0.009763943928952403,0.0091164095371669,0.0259740259740259,0.0315415370946246,0.0380258899676375,0.08099173553719
ai_past_tense_share,1593,1236,0.09147882812634724,0.1817416709490894,0.0,0.0,0.0,0.1,1.0
ai_present_tense_share,1593,1236,0.8651838360292853,0.20295990524863924,0.0,0.8181818181818182,0.9333333333333332,1.0,1.0
ai_future_tense_share,1593,1236,0.04333733584436739,0.10475401536813232,0.0,0.0,0.0,0.0489510489510489,1.0
lm_positive_share,2829,0,0.005914962933898903,0.0015015664102512362,0.00194587,0.00489748,0.00580932,0.00675641,0.0122304
lm_negative_share,2829,0,0.019337706751502294,0.004258404487274295,0.0079858,0.0163461,0.01897826,0.02182016,0.0345733
lm_uncertainty_share,2829,0,0.017668285022976318,0.0026955775245170455,0.00871805,0.0158973,0.01764324,0.01935771,0.0310219
passive_voice_sentence_share,2829,0,0.2958832238504894,0.03332083800015154,0.1522842639593908,0.2751744765702891,0.2955056179775281,0.3182674199623352,0.3993660855784469
fog_index,2829,0,20.7818746813503,1.0229624464490747,12.01764243,20.25169076,20.83083971,21.40686469,23.61642977
ai_lm_positive_share,1660,1169,0.015645545975903615,0.014839381647105337,0.0,0.005187395,0.012795125000000001,0.022165437500000003,0.10810811
ai_lm_negative_share,1660,1169,0.028485798783132534,0.027219969377896374,0.0,0.00683767,0.024582125,0.0411099825,0.2173913
ai_lm_uncertainty_share,1660,1169,0.023909291180722887,0.020516332780441765,0.0,0.0086803825,0.02228637,0.03448276,0.22222222
ai_passive_voice_sentence_share,1660,1169,0.153591428878051,0.2096813634485943,0.0,0.0,0.1,0.2222222222222222,1.0
ai_fog_index,1660,1169,29.115602285506068,9.844971615669301,0.4,24.854879524756136,27.62063776526142,30.971892560916956,220.4475095785441
log_report_word_count,2829,0,10.893584041512902,0.3981859236528444,8.57885257,10.65984425,10.87880162,11.12168865,12.3951298
report_word_count,2829,0,58175.45422410746,24492.21267721203,5318.0,42610.0,53040.0,67622.0,241622.0
numeric_token_share,2829,0,0.03604176789324849,0.009917089386453953,0.0169104,0.03063478,0.03499546,0.04026515,0.17011704
average_word_length,2829,0,5.561442612925067,0.07657169460020034,5.251906936401439,5.5115378333605545,5.563121581302834,5.615769473596436,5.80136862304935
lexical_density,2829,0,0.6033979973949827,0.012997261339339386,0.5683159328188834,0.5942887677002625,0.602421165674119,0.6113928117448212,0.6818446319464649
root_type_token_ratio,2829,0,15.568306317490437,1.43296759266006,9.99319010566173,14.679847067712569,15.731614192010296,16.552316649033603,20.40602757329469
