variable,ai_disclosure,ai_sentence_count,log1p_ai_sentence_count,whole_report_concreteness,ai_concreteness,past_tense_share,present_tense_share,future_tense_share,ai_past_tense_share,ai_present_tense_share,ai_future_tense_share,lm_positive_share,lm_negative_share,lm_uncertainty_share,passive_voice_sentence_share,fog_index,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,ai_passive_voice_sentence_share,ai_fog_index,log_report_word_count,report_word_count,numeric_token_share,average_word_length,lexical_density,root_type_token_ratio
ai_disclosure,1.0,0.4078583639628651,0.7819837720858317,-0.20667206618172818,,-0.29773658717773216,0.3059666552438351,-0.03799792792228277,,,,0.19887536131158093,0.24628924955988865,0.25308411479531323,-0.10693693697621239,0.12562020988284978,,,,,,0.10218129478171582,0.07524948005695803,-0.2735286641914137,0.18162846535365954,0.023149855086057994,0.12817921779070107
ai_sentence_count,0.4078583639628651,1.0,0.7953258362811312,-0.19921234602809884,-0.010828774495314893,-0.27755779428157223,0.27459052267252204,0.014795122012789194,-0.01799830842865446,0.009879183461818592,0.012085116778456476,0.2015600017967303,0.2759831942527577,0.24547448815869824,-0.18252772194145278,0.06577411241152341,-0.054320154872333375,-0.010665612558501354,-0.03385461847809781,0.01981572369200673,-0.1412405963629462,0.06918872534030596,0.04167284028589875,-0.2635844132462547,0.08795687679797286,-0.04209765469361923,0.13228584498426557
log1p_ai_sentence_count,0.7819837720858317,0.7953258362811312,0.9999999999999992,-0.26122960673929985,-0.1358092597318154,-0.35388568929279113,0.35736992837107107,-0.01543824043497488,-0.07732387889646307,0.05611969657919679,0.025420721537535912,0.24125538685193423,0.32200434201397166,0.3063815614598509,-0.1587833828333065,0.13144581112706355,-0.0937652467283252,0.08955662618715211,0.05273015403125445,0.04705117566270476,-0.16571084344608755,0.11317396555113476,0.08210285517419019,-0.3253138901414332,0.1746055187622724,-0.01064434167015525,0.14554370366109118
whole_report_concreteness,-0.20667206618172818,-0.19921234602809884,-0.26122960673929985,1.0,0.10698671081877423,0.30184330059579395,-0.2907754178019364,-0.05309841545283939,0.08313496419851649,-0.08077726255907453,0.012271207389861703,-0.08654633155665,-0.428442163474401,-0.5363794482049228,-0.1053304643020722,-0.2938140914597043,0.07069944583626947,0.03340549863506952,-0.026489136564220733,-0.007529047655174204,0.05251216576442022,-0.2117039921700291,-0.19571209703918882,0.3148885295130687,-0.18821534385025596,0.1824468177441805,0.14781818033304553
ai_concreteness,,-0.010828774495314893,-0.1358092597318154,0.10698671081877423,1.0,0.003312405797607488,-0.01955736545527985,0.07235456722644802,0.23812071442390778,-0.19798659814780264,-0.029527415398288098,0.14496793149911105,-0.031125283079341107,-0.006728492713139118,-0.10283427227299502,-0.077482123349205,0.06959131913184112,-0.47925294365143956,-0.553970461331077,-0.03181449598900278,-0.018193405280288795,-0.12090213969568936,-0.12068692059851938,-0.06025132691442233,-0.058906071341636,-0.13928636165715835,0.15624690438907232
past_tense_share,-0.29773658717773216,-0.27755779428157223,-0.35388568929279113,0.30184330059579395,0.003312405797607488,1.0,-0.9775696184610573,-0.10871519712033291,0.06633472380588193,-0.07242381610874452,0.02523385189063107,-0.1863044058687348,-0.18215924876671294,-0.4051099634955804,0.04452875508817788,-0.07847085742588472,0.0562879428775393,0.008908550572231961,0.00039723341669230917,0.00571921160912001,0.11085166345658472,0.1106452068659548,0.10177347007212541,0.5426508412011237,-0.04118529878431236,0.11556039236636496,-0.18709449489592353
present_tense_share,0.3059666552438351,0.27459052267252204,0.35736992837107107,-0.2907754178019364,-0.01955736545527985,-0.9775696184610573,1.0,-0.1030875504055709,-0.062438824165184606,0.07635602279225741,-0.03961160725553251,0.17892215858247915,0.18132280440715431,0.3899691302236604,-0.040816594704172086,0.04298947481676638,-0.0538713763016103,-0.004757995492857257,0.006662633120588695,-0.007990951180810373,-0.09614627060167337,-0.12920538396311215,-0.1121617940568049,-0.5183950494396641,0.11509070495099474,-0.028530113000960127,0.19060230359632496
future_tense_share,-0.03799792792228277,0.014795122012789194,-0.01543824043497488,-0.05309841545283939,0.07235456722644802,-0.10871519712033291,-0.1030875504055709,1.0,-0.019028295500321497,-0.015311204567411325,0.06267821643601847,0.03537374153226692,0.004466322589250804,0.07261625892316603,-0.017647792726048873,0.16769236058376555,-0.011489449664512187,-0.01860860962261641,-0.03146308711704961,0.01004931559061827,-0.06694651112520669,0.08728756111131261,0.048742368797891476,-0.11602947900466526,-0.3487099138516704,-0.4111042359618889,-0.016024131193784718
ai_past_tense_share,,-0.01799830842865446,-0.07732387889646307,0.08313496419851649,0.23812071442390778,0.06633472380588193,-0.062438824165184606,-0.019028295500321497,1.0,-0.8573562790659351,-0.07381790338409931,0.08537547592879889,-0.08060602393678193,-0.09338372167738476,0.01858798154264034,-0.052486042358771155,0.0984475707705581,-0.17303778043891593,-0.19508511815160892,-0.030020682475684627,-0.04795722436032808,0.006643571811320708,-0.006231718452841959,0.0309966171920044,-0.0007817158170375553,0.021814296093539996,0.008862923324627039
ai_present_tense_share,,0.009879183461818592,0.05611969657919679,-0.08077726255907453,-0.19798659814780264,-0.07242381610874452,0.07635602279225741,-0.015311204567411325,-0.8573562790659351,0.9999999999999997,-0.45003088737774266,-0.10059158574600706,0.0574528950110143,0.10536696871014246,-0.025813901910236508,0.032163994901186,-0.12971064786069594,0.19493976965032697,0.2055378416287954,0.04448547835147717,0.0641606244738071,0.0018701659792463253,0.018517903198969916,-0.03804154702177697,-0.00906838233349536,-0.023838583872058408,-0.008255942752147884
