variable,report_year,paired_firm_count,mean_within_firm_change,median_within_firm_change,standard_deviation,p25,p75
whole_report_concreteness,2007,12,-0.0023901391666666,0.0072728799999999,0.0250198972943214,-0.0106515349999999,0.0107740300000001
whole_report_concreteness,2008,20,-0.0049333525,-0.0052422950000001,0.0166456109259016,-0.0139495575000001,0.0014869374999998
whole_report_concreteness,2009,33,-0.0057098427272726,-0.0068006599999996,0.0152071535515584,-0.0171377600000002,0.0030044199999998
whole_report_concreteness,2010,39,-0.001657321025641,0.0009735699999997,0.0214230326494789,-0.0065428400000002,0.00731762
whole_report_concreteness,2011,43,-0.0066051779069767,-0.00278993,0.0155008725380695,-0.0142638600000002,0.0017864899999999
whole_report_concreteness,2012,49,-0.0002079477551019,-0.0026382099999997,0.0111142892160029,-0.0069138999999998,0.0049183300000001
whole_report_concreteness,2013,67,-0.0015766583582089,-0.0010821700000001,0.0143291559087248,-0.0077018949999998,0.0041361399999999
whole_report_concreteness,2014,90,-0.0033788536666666,-0.0007174,0.0131502420198852,-0.0065970575,0.00353988
whole_report_concreteness,2015,131,-0.0057094041984732,-0.0034035199999999,0.0131367276546299,-0.0100549299999999,0.0010243699999998
whole_report_concreteness,2016,171,-0.0040385102923976,-0.0034330499999999,0.01375506516162,-0.0095562,0.00268
whole_report_concreteness,2017,239,-0.0030806879079497,-0.0021385300000003,0.013602751990925,-0.0084564599999998,0.0025677449999998
whole_report_concreteness,2018,306,-0.0028904433333333,-0.00171173,0.0140704281581942,-0.0080465374999998,0.0034131149999998
whole_report_concreteness,2019,373,-0.0034962254155496,-0.0028426000000001,0.01481710218237,-0.0089579200000002,0.0035365400000002
whole_report_concreteness,2020,424,-0.0041333779481131,-0.0033936000000001,0.0136438726465953,-0.0101959299999998,0.0031455349999998
whole_report_concreteness,2021,434,-0.0005968604147465,-0.0002223649999997,0.0106954524320391,-0.0061120974999999,0.0054111300000002
whole_report_concreteness,2022,452,-0.0002133648451327,0.0001683700000001,0.0106992666228239,-0.0045633449999998,0.0051727675000001
whole_report_concreteness,2023,458,-0.002664527510917,-0.0024492849999999,0.0086182298318924,-0.0073397149999999,0.0026453874999998
whole_report_concreteness,2024,465,-0.0029445221505376,-0.0024322300000001,0.0082324647695734,-0.0070055300000002,0.0017701099999998
whole_report_concreteness,2025,462,-0.003204336038961,-0.0025085849999999,0.008159019679623,-0.0072208299999999,0.0015969799999999
past_tense_share,2007,12,0.0063285113216001,0.0075582549692645,0.0310672567281664,-0.0134943176590784,0.0263980788898946
past_tense_share,2008,20,-0.0091558159885385,-0.0100459731060816,0.0309126068775072,-0.0148425513958264,0.0003864315601632
past_tense_share,2009,33,0.0001405991212911,-0.0015447362958079,0.0218941870627791,-0.0125691302161889,0.0130333066842126
past_tense_share,2010,39,-0.0070599180604248,-0.0032212961947581,0.0251068590862281,-0.0138047544803198,0.0040632223940592
past_tense_share,2011,43,-0.0036779363636042,-0.0118809071847308,0.042647760096492,-0.0173851839307959,-0.0012215807833691
past_tense_share,2012,49,-0.0042758357616779,-0.0049689566198999,0.0176684502833471,-0.0144321974113699,0.0053256966517979
past_tense_share,2013,67,-0.0012542642798823,-0.0034798997696434,0.0199839955623282,-0.0125144599713452,0.0029405853787862
past_tense_share,2014,90,-0.0035933548654915,-0.0033429389714538,0.0201804104693629,-0.0154140551686917,0.0105911068035934
past_tense_share,2015,131,0.001030984090864,0.0007887739653703,0.0239629988870243,-0.0100248480881102,0.0094565207508705
past_tense_share,2016,171,-0.0041914607446485,-0.0037362646820248,0.0243109580665587,-0.0171726243596545,0.0070828974852678
past_tense_share,2017,239,-0.0026156864326725,-0.0029407324671292,0.0153904360367676,-0.01187820078207,0.0060677618200836
past_tense_share,2018,306,-0.0002487396758455,-0.0004190284974096,0.0203746400851618,-0.0110285818175295,0.011963662858676
past_tense_share,2019,373,-0.0087196120839712,-0.0097817180203572,0.0274342339657882,-0.0247271412471031,0.0041038788629274
past_tense_share,2020,424,-0.0012499940309872,-0.0008244797841138,0.0250435318031805,-0.0148615834312789,0.0113147574131395
past_tense_share,2021,434,-0.0097613213012233,-0.0085102775918805,0.0200199539426154,-0.0215513885932623,0.0022277174071959
past_tense_share,2022,452,-0.0055863230302395,-0.0055419773413229,0.0178635018038006,-0.0153518444516477,0.0032664010580942
past_tense_share,2023,458,-0.0084076821300398,-0.0078507579103716,0.0165839735996673,-0.0189692739264849,0.0011939991435118
past_tense_share,2024,465,-0.0054416787922125,-0.0055511631435908,0.0161840009654337,-0.0148119168234056,0.0040267371619802
past_tense_share,2025,462,-0.0022012945898061,-0.0020625974487523,0.0161179224745972,-0.0108930772603288,0.0068575349995065
present_tense_share,2007,12,-0.0050567627887903,-0.0135570533659211,0.0268430345530958,-0.0194564167351761,0.0115182137399882
present_tense_share,2008,20,0.009546669490887,0.0085989870831527,0.0286184471821224,-0.0031515796366014,0.0159348463877072
present_tense_share,2009,33,0.0020340356387731,0.003760095896764,0.0218923660243798,-0.0170198071088527,0.0135663083049113
present_tense_share,2010,39,0.0074906041069459,0.005296575735796,0.022454157038696,-0.0024867117719533,0.0152119726712894
present_tense_share,2011,43,0.0036030923845111,0.0116322814767145,0.0395431058448278,-5.367923190185975e-05,0.0188377435088604
