variable_name,variable_label,variable_group,source_file,source_column,data_type,unit,missing_value_rule,construction_rule,notes
company_id,company id,identifier,{year}/sample_500/sample_manifest_{year}_500.csv,_company_key,string,value,empty CSV field / null Parquet value retained,stable CIK-based manifest company key,Annual source ID is retained as source_company_id.
source_company_id,source company id,identifier,{year}/sample_500/language_results/company_language_results.csv,company_id,string,value,empty CSV field / null Parquet value retained,original annual sample identifier,
sample_order,sample order,report_control,constructed by scripts/build_2020_2025_language_panel.py,,nullable_integer,value,empty CSV field / null Parquet value retained,copied without value transformation,
batch_id,batch id,report_control,constructed by scripts/build_2020_2025_language_panel.py,,nullable_integer,value,empty CSV field / null Parquet value retained,copied without value transformation,
report_date,report date,time,constructed by scripts/build_2020_2025_language_panel.py,,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
form,form,identifier,constructed by scripts/build_2020_2025_language_panel.py,,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
r2_object_key,r2 object key,identifier,constructed by scripts/build_2020_2025_language_panel.py,,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
cik,cik,identifier,{year}/sample_500/language_results/company_language_results.csv,cik,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
ticker,ticker,identifier,{year}/sample_500/language_results/company_language_results.csv,ticker,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
company_name,company name,identifier,{year}/sample_500/language_results/company_language_results.csv,company_name,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
accession_number,accession number,identifier,{year}/sample_500/language_results/company_language_results.csv,accession_number,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
report_year,report year,time,{year}/sample_500/language_results/company_language_results.csv,report_year,nullable_integer,year,empty CSV field / null Parquet value retained,copied without value transformation,
filing_date,filing date,time,{year}/sample_500/language_results/company_language_results.csv,filing_date,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
parser_version,parser version,report_control,{year}/sample_500/language_results/company_language_results.csv,parser_version,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
language_measurement_version,language measurement version,report_control,{year}/sample_500/language_results/company_language_results.csv,language_measurement_version,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
ai_disclosure_binary,ai disclosure binary,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,ai_disclosure_binary,nullable_integer,value,empty CSV field / null Parquet value retained,copied without value transformation,
ai_term_count,ai term count,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,ai_term_count,nullable_integer,count,empty CSV field / null Parquet value retained,copied without value transformation,
ai_terms_per_1000_words,ai terms per 1000 words,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,ai_terms_per_1000_words,float,value,empty CSV field / null Parquet value retained,copied without value transformation,
total_analysis_word_count,total analysis word count,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,total_analysis_word_count,nullable_integer,count,empty CSV field / null Parquet value retained,copied without value transformation,
total_analysis_sentence_count,total analysis sentence count,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,total_analysis_sentence_count,nullable_integer,count,empty CSV field / null Parquet value retained,copied without value transformation,
ai_sentence_count,ai sentence count,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,ai_sentence_count,nullable_integer,count,empty CSV field / null Parquet value retained,copied without value transformation,
ai_sentence_ratio,ai sentence ratio,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,ai_sentence_ratio,float,proportion,empty CSV field / null Parquet value retained,copied without value transformation,
ai_detection_status,ai detection status,ai_disclosure,{year}/sample_500/language_results/company_language_results.csv,ai_detection_status,string,value,empty CSV field / null Parquet value retained,copied without value transformation,
ai_uncertainty_count,ai uncertainty count,lm_ai_level,{year}/sample_500/language_results/company_language_results.csv,ai_uncertainty_count,nullable_integer,count,empty CSV field / null Parquet value retained,copied without value transformation,
ai_uncertainty_ratio,ai uncertainty ratio,lm_ai_level,{year}/sample_500/language_results/company_language_results.csv,ai_uncertainty_ratio,float,proportion,empty CSV field / null Parquet value retained,copied without value transformation,
