variable,disclosure_N,disclosure_mean,non_disclosure_N,non_disclosure_mean,mean_difference,standardized_mean_difference,welch_t,welch_pvalue
whole_report_concreteness,1660,2.8916837693975905,1169,2.910088132095808,-0.0184043626982175,-0.4288237761856285,-10.98930635199284,2.0294047669742957e-27
past_tense_share,1660,0.2172843676708452,1169,0.2451615038052188,-0.0278771361343735,-0.6331505500386826,-16.434205003036716,1.2408784010517476e-57
present_tense_share,1660,0.7503023885885743,1169,0.721671931464953,0.0286304571236213,0.6524330680583038,16.937809526652412,6.387611664428882e-61
future_tense_share,1660,0.0324132437405803,1169,0.0331665647298281,-0.0007533209892478,-0.0771954575983975,-2.0114208183593507,0.044389565445091
lm_uncertainty_share,1660,0.0182406764939759,1169,0.0168554793413173,0.0013851971526585,0.531076402857211,13.958213793982118,1.0108225565120498e-42
passive_voice_sentence_share,1660,0.2928935755876342,1169,0.3001285755325592,-0.007234999944925,-0.2183450321939453,-5.670553282201517,1.5914483362448778e-08
fog_index,1660,20.88969376733735,1169,20.628769734610778,0.2609240327265709,0.2570582795331397,6.557657190464262,6.749012439676536e-11
report_word_count,1660,59721.80481927711,1169,55979.60992301112,3742.194896265988,0.1531985550685862,3.988850358451327,6.83317709250414e-05
lm_positive_share,1660,0.0061655172951807,1169,0.0055591714542343,0.0006063458409463,0.4119665914634225,10.826392548662124,9.781294933740635e-27
lm_negative_share,1660,0.0202176786566265,1169,0.0180881315911035,0.0021295470655229,0.5158836388205411,13.648734925425384,5.133938708387823e-41
